run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	sample_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR5001724	SAMEA7723389	ERX4811007	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s002	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001724/13114.angenent.65.s002.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001724/13114.angenent.65.s002.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/004/ERR5001724.bam
ERR5001725	SAMEA7724098	ERX4811008	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s003	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001725/13114.angenent.65.s003.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001725/13114.angenent.65.s003.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5001725.bam
ERR5001726	SAMEA7724099	ERX4811009	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001726/13114.angenent.65.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001726/13114.angenent.65.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001726.bam
ERR5001728	SAMEA7723848	ERX4811011	PRJEB42019	1076179	bioreactor metagenome	ILLUMINA	13114.angenent.65.s006	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001728/13114.angenent.65.s006.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001728/13114.angenent.65.s006.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001728.bam
ERR5001732	SAMEA7723849	ERX4811015	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s001	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001732/13114.berry.2.s001.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001732/13114.berry.2.s001.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001732.bam
ERR5001735	SAMEA7723392	ERX4811018	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s004	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001735/ERR5001735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001735/ERR5001735_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001735/13114.berry.2.s004.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001735/13114.berry.2.s004.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/005/ERR5001735.bam
ERR5001736	SAMEA7723851	ERX4811019	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s005	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001736/ERR5001736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001736/ERR5001736_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001736/13114.berry.2.s005.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001736/13114.berry.2.s005.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001736.bam
ERR5001738	SAMEA7723393	ERX4811021	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s007	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001738/ERR5001738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001738/ERR5001738_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001738/13114.berry.2.s007.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001738/13114.berry.2.s007.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/008/ERR5001738.bam
ERR5001742	SAMEA7723397	ERX4811025	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s011	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001742/ERR5001742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001742/ERR5001742_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001742/13114.berry.2.s011.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001742/13114.berry.2.s011.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/002/ERR5001742.bam
ERR5001746	SAMEA7723854	ERX4811029	PRJEB42019	556182	freshwater sediment metagenome	ILLUMINA	13114.berry.2.s015	WGS	ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001746/ERR5001746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001746/ERR5001746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001746/13114.berry.2.s015.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR500/ERR5001746/13114.berry.2.s015.R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR500/006/ERR5001746.bam
