File_ID	reads_length	Name	Rank	Lineage	Taxid	sample_name	empo_1	empo_2	empo_3	empo_4	highest_taxa	genus	isyeast	subphylum
ERR5003990	1671252	Phoma herbarum	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Phoma|species-Phoma_herbarum	73001	13114.rohwer.85.s024	Free-living	Saline	Sediment (saline)	Sediment (saline)	Ascomycota	Phoma	N	Pezizomycotina
ERR5003990	1671252	Pyrenochaeta sp. UM 256	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Cucurbitariaceae|genus-Pyrenochaeta|species-Pyrenochaeta_sp._UM_256	1295359	13114.rohwer.85.s024	Free-living	Saline	Sediment (saline)	Sediment (saline)	Ascomycota	Pyrenochaeta	N	Pezizomycotina
ERR5003990	1671252	Exophiala mesophila	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Exophiala|species-Exophiala_mesophila	212818	13114.rohwer.85.s024	Free-living	Saline	Sediment (saline)	Sediment (saline)	Ascomycota	Exophiala	Y	Pezizomycotina
ERR5002141	16410362	Stemphylium vesicarium	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Stemphylium|species-Stemphylium_vesicarium	119933	13114.stegen.37.s004	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)				NA
ERR5005105	17344358	Porites rus	species	phylum-Cnidaria|class-Anthozoa|order-Scleractinia|family-Poritidae|genus-Porites|species-Porites_rus	262591	13114.zaneveld.9.s017	Host-associated	Animal	Animal secretion	Animal secretion (saline)				NA
ERR5005203	28976384	Debaryomyces hansenii CBS767	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	284592	13114.mousseau.88.s032	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)	Ascomycota	Debaryomyces	Y	Saccharomycotina
ERR5004976	22312942	Hyaloscypha bicolor E	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Hyaloscyphaceae|genus-Hyaloscypha|species-Hyaloscypha_bicolor	1095630	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Hyaloscypha	N	Pezizomycotina
ERR5004976	22312942	Cenococcum geophilum 1.58	species	phylum-Ascomycota|class-Dothideomycetes|family-Gloniaceae|genus-Cenococcum|species-Cenococcum_geophilum	794803	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Cenococcum	N	Pezizomycotina
ERR5004976	22312942	Phialocephala subalpina	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|genus-Phialocephala|species-Phialocephala_subalpina	576137	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Phialocephala	N	Pezizomycotina
ERR5004976	22312942	Oidiodendron maius Zn	species	phylum-Ascomycota|class-Leotiomycetes|family-Myxotrichaceae|genus-Oidiodendron|species-Oidiodendron_maius	913774	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Oidiodendron	N	Pezizomycotina
ERR5004976	22312942	Piloderma croceum F 1598	species	phylum-Basidiomycota|class-Agaricomycetes|order-Atheliales|family-Atheliaceae|genus-Piloderma|species-Piloderma_croceum	765440	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)				NA
ERR5004976	22312942	Hirsutella minnesotensis 3608	species	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Ophiocordycipitaceae|genus-Hirsutella|species-Hirsutella_minnesotensis	1043627	13114.stegen.38.s017	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)	Ascomycota	Hirsutella	N	Pezizomycotina
ERR5004707	4896290	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Micromonas bravo	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Mamiellaceae|genus-Micromonas|species-Micromonas_bravo	296588	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Stramenopiles sp. TOSAG23-2	species	species-Stramenopiles_sp._TOSAG23-2	1735743	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Florenciella parvula	species	class-Dictyochophyceae|order-Florenciellales|genus-Florenciella|species-Florenciella_parvula	236787	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Minutocellus polymorphus	species	phylum-Bacillariophyta|class-Mediophyceae|order-Cymatosirales|family-Cymatosiraceae|genus-Minutocellus|species-Minutocellus_polymorphus	265543	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Stramenopiles sp. TOSAG23-3	species	species-Stramenopiles_sp._TOSAG23-3	1735745	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Alexandrium tamarense	species	class-Dinophyceae|order-Gonyaulacales|family-Gonyaulacaceae|genus-Alexandrium|species-Alexandrium_tamarense	2926	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004707	4896290	Pelagomonas calceolata	species	class-Pelagophyceae|order-Pelagomonadales|genus-Pelagomonas|species-Pelagomonas_calceolata	35677	13114.palenik.42.s005	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Bathycoccus prasinos	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Bathycoccus|species-Bathycoccus_prasinos	41875	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Ostreococcus lucimarinus CCE9901	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Bathycoccaceae|genus-Ostreococcus|species-Ostreococcus_sp._'lucimarinus'	436017	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Stramenopiles sp. TOSAG23-2	species	species-Stramenopiles_sp._TOSAG23-2	1735743	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Prasinoderma singulare	species	phylum-Chlorophyta|class-Palmophyllophyceae|order-Prasinococcales|family-Prasinococcaceae|genus-Prasinoderma|species-Prasinoderma_singulare	676789	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Pelagomonas calceolata	species	class-Pelagophyceae|order-Pelagomonadales|genus-Pelagomonas|species-Pelagomonas_calceolata	35677	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Stramenopiles sp. TOSAG23-3	species	species-Stramenopiles_sp._TOSAG23-3	1735745	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Micromonas bravo	species	phylum-Chlorophyta|class-Mamiellophyceae|order-Mamiellales|family-Mamiellaceae|genus-Micromonas|species-Micromonas_bravo	296588	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Gephyrocapsa oceanica	species	phylum-Haptista|class-Haptophyta|order-Isochrysidales|family-Noelaerhabdaceae|genus-Gephyrocapsa|species-Gephyrocapsa_oceanica	38817	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Pseudo-nitzschia arenysensis	species	phylum-Bacillariophyta|class-Bacillariophyceae|order-Bacillariales|family-Bacillariaceae|genus-Pseudo-nitzschia|species-Pseudo-nitzschia_arenysensis	697910	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Pycnococcus provasolii	species	phylum-Chlorophyta|family-Pycnococcaceae|genus-Pycnococcus|species-Pycnococcus_provasolii	41880	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
ERR5004714	15452616	Chloropicon roscoffensis	species	phylum-Chlorophyta|class-Chloropicophyceae|order-Chloropicales|family-Chloropicaceae|genus-Chloropicon|species-Chloropicon_roscoffensis	1461544	13114.palenik.42.s012	Free-living	Saline	Water (saline)	Water (saline)				NA
