ID	sample_name	total	classified	unclassified
ERR5001731	13114.angenent.65.s009	4621476	7751	4613725
ERR5001761	13114.bittleston.68.s010	5807606	14934	5792672
ERR5001778	13114.bowen.74.s013	23612144	8102	23604042
ERR5001810	13114.jensen.43.s003	20898594	8358	20890236
ERR5001821	13114.jensen.43.s014	1886002	1534	1884468
ERR5001823	13114.jensen.43.s016	18685370	22473	18662897
ERR5001832	13114.king.27.s008	14220040	7054	14212986
ERR5001861	13114.mayer.33.s007	25189284	13938	25175346
ERR5001874	13114.mcmahon.21.s003	5875872	2166	5873706
ERR5001875	13114.mcmahon.21.s004	4248634	962	4247672
ERR5001886	13114.mcmahon.21.s015	5317150	2165	5314985
ERR5001887	13114.mcmahon.21.s016	3027698	1184	3026514
ERR5001914	13114.myrold.5.s003	145309534	47213	145262321
ERR5001915	13114.myrold.5.s004	14181796	4695	14177101
ERR5001919	13114.myrold.5.s008	91233900	202065	91031835
ERR5001929	13114.myrold.59.s006	21110084	34384	21075700
ERR5001938	13114.myrold.59.s019	7826580	8790	7817790
ERR5001962	13114.pinto.63.s003	8885858	4512688	4373170
ERR5001987	13114.rohwer.84.s001	6608944	3171	6605773
ERR5001989	13114.rohwer.84.s003	2009072	1876	2007196
ERR5001991	13114.rohwer.84.s005	22751892	6102	22745790
ERR5001992	13114.rohwer.84.s006	15173400	3791	15169609
ERR5002013	13114.rohwer.86.s001	21133670	4733	21128937
ERR5002021	13114.roy.chowdhury.45.s015	11003848	1322	11002526
ERR5002030	13114.sandin.54.s009	18712218	13445	18698773
ERR5002032	13114.sandin.54.s011	18671798	15944	18655854
ERR5002084	13114.song.51.s010	30827864	37702	30790162
ERR5002122	13114.song.53.s013	8243484	54468	8189016
ERR5002135	13114.stegen.36.s010	141443184	30410	141412774
ERR5002141	13114.stegen.37.s004	16410362	8905	16401457
ERR5002194	13114.thomas.18.s017	4965640	707	4964933
ERR5002195	13114.thomas.18.s018	5162644	596	5162048
ERR5002197	13114.thomas.18.s020	9995682	1391	9994291
ERR5002208	13114.thomas.19.s002	7128680	4066	7124614
ERR5002215	13114.thomas.19.s014	3994260	3215	3991045
