	None	Other Fungi	Yeast	n_samples	label
alcohol	0.0	0.0	100.0	42	alcohol (42)
fermented_fish	0.0	0.0	100.0	5	fermented_fish (5)
fermented_seeds	0.0	0.0	100.0	57	fermented_seeds (57)
meat	0.0	0.0	100.0	70	meat (70)
other	0.0	0.0	100.0	5	other (5)
fermented_tubers_and_roots	0.0	0.0	100.0	24	fermented_tubers_and_roots (24)
fermented_beverages	0.0	0.7352941176470588	99.26470588235294	408	fermented_beverages (408)
fruits_and_vegetables	0.0	2.0408163265306123	97.95918367346938	49	fruits_and_vegetables (49)
fermented_grains	0.0	7.228915662650602	92.7710843373494	83	fermented_grains (83)
fermented_fruits_and_vegetables	0.0	7.6923076923076925	92.3076923076923	52	fermented_fruits_and_vegetables (52)
dairy	0.9483667017913594	6.8493150684931505	92.20231822971549	949	dairy (949)
fermented_legumes	0.0	10.526315789473683	89.47368421052632	19	fermented_legumes (19)
fish	1.0752688172043012	20.43010752688172	78.49462365591397	93	fish (93)
fermented_meat	1.8518518518518516	25.925925925925924	72.22222222222221	54	fermented_meat (54)
probiotics	22.58064516129032	51.61290322580645	25.806451612903224	31	probiotics (31)
