	None	Other Fungi	Other Eukaryotes	Yeast	n_samples	label
alcohol	0	0	0	100	42	alcohol (42)
fermented_beverages	0.735294117647059	0	0	99.2647058823529	408	fermented_beverages (408)
fermented_tubers_and_roots	4.16666666666667	0	0	95.8333333333333	24	fermented_tubers_and_roots (24)
meat	4.34782608695652	0	0	95.6521739130435	70	meat (70)
fermented_fruits_and_vegetables	7.69230769230769	0	0	92.3076923076923	52	fermented_fruits_and_vegetables (52)
fermented_seeds	9.09090909090909	0	1.81818181818182	89.0909090909091	57	fermented_seeds (57)
fermented_grains	8.75	2.5	0	88.75	83	fermented_grains (83)
fermented_fish	20	0	0	80	5	fermented_fish (5)
other	20	0	0	80	5	other (5)
fermented_legumes	26.3157894736842	0	0	73.6842105263158	19	fermented_legumes (19)
dairy	31.4438502673797	0.855614973262032	0	67.7005347593583	949	dairy (949)
fermented_meat	54.7169811320755	5.66037735849057	0	39.622641509434	54	fermented_meat (54)
fish	58.0645161290323	3.2258064516129	2.1505376344086	36.5591397849462	93	fish (93)
fruits_and_vegetables	75.5102040816327	0	0	24.4897959183673	49	fruits_and_vegetables (49)
probiotics	92.5925925925926	0	0	7.40740740740741	31	probiotics (31)
