taxid	reads_length
ERR11641275	27074
ERR11641224	166748
ERR11641281	11184
ERR11641274	424870
ERR11641283	66008
ERR11641227	612790
ERR11641279	713730
ERR11641277	859724
ERR11641222	1515446
ERR11641472	50912
ERR11641282	1527512
ERR11641473	34644
ERR11641474	193888
ERR11641475	707708
ERR11641276	2867846
DRR000714	7945318
DRR000713	11442510
ERR11641225	5828940
ERR11641284	5908982
ERR11641206	10113606
ERR11641210	9547144
ERR11641226	9570548
ERR11641285	10660820
ERR11641476	11110150
ERR11641695	10589088
ERR11642240	812426
ERR11641223	12838228
ERR11641273	14475550
ERR11642251	50288
ERR11642252	55278
ERR11642233	4384268
ERR11642242	2396886
ERR11641286	15503514
ERR11641217	16920102
ERR11642235	6078028
ERR11641278	17386522
ERR11642609	28226
ERR11642610	20304
ERR11642229	8037092
ERR11642615	738590
ERR11642613	1826260
ERR11642616	402954
ERR11642617	916204
ERR11641696	17930260
ERR11641219	21048510
ERR11641280	21307186
ERR11641216	21857782
ERR11641208	20818522
ERR11647607	8716
ERR11647608	30208
ERR11647610	150644
ERR11647611	28876
ERR11642211	16596860
ERR11641220	21414456
ERR11647613	67032
ERR11647612	161338
ERR11641221	22036462
ERR11647637	2586212
ERR11718191	1466798
ERR11641471	25441606
ERR11642608	9692616
ERR11642232	18573566
ERR11641694	26180158
ERR11718190	3847286
ERR11642596	14976006
ERR11718193	2821106
ERR11642673	10863864
ERR11718195	3000112
ERR11641213	29591486
ERR11718194	4199262
ERR11642600	17207050
ERR11642250	19806572
ERR11718199	2245604
ERR11718192	5203660
ERR11718198	3022648
ERR11718201	1705548
ERR11718203	1385516
ERR11647606	12715114
ERR11865279	1020
ERR11865280	247128
ERR11865281	14734
ERR11865282	552580
ERR11718205	1748956
ERR11642280	22283818
ERR11718202	3344478
ERR11718196	5297792
ERR11718197	5403412
ERR11642602	21435090
ERR11865276	3321934
ERR11718200	4662608
ERR11641947	32373892
ERR11718206	2788776
ERR11865277	3471678
ERR11865278	3983030
ERR11865284	2562244
ERR11865285	3367396
ERR11642671	20313426
ERR11865292	1502944
ERR11718207	3916876
ERR11865283	4135884
ERR11865288	2925436
ERR11865289	2875408
ERR11865286	3807890
ERR11865287	3798576
ERR11865293	3266868
ERR11865297	1930670
ERR11865296	2587150
ERR11865294	3283078
ERR11865291	3775302
ERR11865290	3989350
ERR11865295	3107352
ERR11865300	2460712
ERR11642305	29543910
ERR11865298	3441656
ERR11865304	2271690
ERR11641272	44630946
ERR11718204	7162362
ERR11865301	3348920
ERR11718208	6238980
ERR11865299	4169542
ERR11642248	31572996
ERR11865305	3153750
ERR11865302	3993240
ERR11865309	2959322
ERR11865306	3350696
ERR11647632	23144646
ERR11865308	3340374
ERR11865312	2937754
ERR11865316	1805846
ERR11865307	3667442
ERR11865320	1637792
ERR11865328	886562
ERR11865311	4086844
ERR11865310	4071192
ERR11865303	5615918
ERR11865324	2020182
ERR11865313	3998662
ERR11865332	1280944
ERR11865317	3380678
ERR11865321	2855682
ERR11865315	3635388
ERR11865319	3274360
ERR11865314	4174318
ERR11865325	2551806
ERR11865336	1079508
ERR11865318	3561900
ERR11865329	2568230
ERR11865322	3755056
ERR11865340	1052188
ERR11865327	3042216
ERR11865323	3763122
ERR11865331	3413650
ERR11865330	3854746
ERR11865326	4103258
ERR11865333	3189250
ERR11865344	1959258
ERR11865335	3211568
ERR11865338	2961682
ERR11865334	3924746
ERR11865348	2662248
ERR11865337	3860924
ERR11865345	3637742
ERR11865341	3645714
ERR11641215	53609826
ERR11865342	4039096
ERR11865351	3287496
ERR11642664	34580362
ERR11865352	3370724
ERR11865346	4823354
ERR11865349	4304870
ERR11865343	5116158
ERR11865339	5565760
ERR11865357	3205792
ERR11865353	3414598
ERR11865350	4214398
ERR11865354	3522536
ERR11865347	5237312
ERR11865355	3666642
ERR11865358	3751670
ERR11865356	3897738
ERR11865364	2335640
ERR11865367	2002306
ERR11865359	3829562
ERR11641218	52202626
ERR11865362	3780824
ERR11865361	3920494
ERR11865360	4388140
ERR11865365	3865492
ERR11865363	4384732
ERR11865371	3611752
ERR11865385	1818052
ERR11647604	37949936
ERR11865378	3199674
ERR11865368	4810802
ERR11865369	4546532
ERR11865377	3602426
ERR11865370	3891648
ERR11865373	4103048
ERR11865381	3143830
ERR11865375	4251262
ERR11865386	2476452
ERR11865372	4656352
ERR11865374	4597640
ERR11865380	4036986
ERR11865382	4067026
ERR11865376	4501806
ERR11865379	4773962
ERR11865383	4289856
ERR11865389	3155362
ERR11865387	3895944
ERR11865390	3279540
ERR11865397	2378508
ERR11865393	3035406
ERR11865384	4929082
ERR11865391	3189202
ERR11865394	3113684
ERR11865388	3837104
ERR11865401	2842178
