ID	total	classified	unclassified
DRR000713	11442510	26037	11416473
DRR000714	7945318	84404	7860914
DRR205701	113438276	25657556	87780720
DRR205702	112992078	15050868	97941210
DRR205703	131517470	62899344	68618126
ERR11641206	10113606	43703	10069903
ERR11641208	20818522	27987	20790535
ERR11641210	9547144	49528	9497616
ERR11641213	29591486	146399	29445087
ERR11641215	53609826	227159	53382667
ERR11641216	21857782	122398	21735384
ERR11641217	16920102	44100	16876002
ERR11641218	52202626	116383	52086243
ERR11641219	21048510	94073	20954437
ERR11641220	21414456	66811	21347645
ERR11641221	22036462	148723	21887739
ERR11641222	1515446	9024	1506422
ERR11641223	12838228	110102	12728126
ERR11641224	166748	94	166654
ERR11641225	5828940	78776	5750164
ERR11641226	9570548	40037	9530511
ERR11641227	612790	1529	611261
ERR11641272	44630946	68309	44562637
ERR11641273	14475550	29765	14445785
ERR11641274	424870	183	424687
ERR11641275	27074	406	26668
ERR11641276	2867846	26659	2841187
ERR11641277	859724	2365	857359
ERR11641278	17386522	73225	17313297
ERR11641279	713730	1519	712211
ERR11641280	21307186	119916	21187270
ERR11641281	11184	713	10471
ERR11641282	1527512	344937	1182575
ERR11641283	66008	275	65733
ERR11641284	5908982	43711	5865271
ERR11641285	10660820	32134	10628686
ERR11641286	15503514	38810	15464704
ERR11641471	25441606	246566	25195040
ERR11641472	50912	90	50822
ERR11641473	34644	111	34533
ERR11641474	193888	755	193133
ERR11641475	707708	1658	706050
ERR11641476	11110150	43129	11067021
ERR11641694	26180158	155850	26024308
ERR11641695	10589088	45516	10543572
ERR11641696	17930260	11196	17919064
ERR11641881	62692560	151721	62540839
ERR11641947	32373892	295300	32078592
ERR11642211	16596860	30800	16566060
ERR11642229	8037092	13192	8023900
ERR11642232	18573566	94537	18479029
ERR11642233	4384268	14296	4369972
ERR11642235	6078028	19168	6058860
ERR11642240	812426	3476	808950
ERR11642242	2396886	12954	2383932
ERR11642248	31572996	60538	31512458
ERR11642250	19806572	20066	19786506
ERR11642251	50288	979	49309
ERR11642252	55278	7823	47455
ERR11642280	22283818	39492	22244326
ERR11642305	29543910	210241	29333669
ERR11642596	14976006	66737	14909269
ERR11642600	17207050	56976	17150074
ERR11642602	21435090	93393	21341697
ERR11642608	9692616	44237	9648379
ERR11642609	28226	782	27444
ERR11642610	20304	825	19479
ERR11642613	1826260	1154	1825106
ERR11642615	738590	254	738336
ERR11642616	402954	288	402666
ERR11642617	916204	485	915719
ERR11642664	34580362	88172	34492190
ERR11642671	20313426	16475	20296951
ERR11642673	10863864	16139	10847725
ERR11647578	47048006	403047	46644959
ERR11647604	37949936	283758	37666178
ERR11647606	12715114	97603	12617511
ERR11647607	8716	388	8328
ERR11647608	30208	9	30199
ERR11647610	150644	67	150577
ERR11647611	28876	9	28867
ERR11647612	161338	47	161291
ERR11647613	67032	311	66721
ERR11647632	23144646	106152	23038494
ERR11647637	2586212	19476	2566736
ERR11718190	3847286	27230	3820056
ERR11718191	1466798	14671	1452127
