	Saccharomyces	Yarrowia	Lipomyces	Malassezia	Wickerhamomyces	Scheffersomyces	Vanderwaltozyma	Papiliotrema	Basidioascus	Hyphopichia	n_samples
Animal distal gut	996474.0	0.0	261426.0	49558.0	199968.0	0.0	888.0	630.0	11670.0	42106.0	182
Soil (non-saline)	0.0	622449.0	29748.0	7411.0	303.0	0.0	26.0	53.0	3651.0	0.0	215
Water (saline)	13477.0	0.0	0.0	76989.0	0.0	73277.0	2850.0	0.0	18350.0	0.0	39
Animal proximal gut	150620.0	865.0	207.0	10708.0	458.0	2.0	0.0	0.0	445.0	0.0	30
Animal corpus	0.0	0.0	19670.0	30179.0	2949.0	68158.0	28935.0	0.0	4640.0	0.0	67
Animal secretion	0.0	0.0	0.0	23998.0	1297.0	49402.0	46400.0	0.0	0.0	42.0	20
Sediment (saline)	6435.0	0.0	78171.0	8497.0	44.0	11599.0	4898.0	0.0	2491.0	0.0	66
Plant surface	2167.0	0.0	31149.0	7156.0	2341.0	1380.0	1215.0	65517.0	33.0	0.0	57
Surface (saline)	2960.0	0.0	13273.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	4
Plant corpus	0.0	0.0	6854.0	0.0	3720.0	0.0	0.0	0.0	2643.0	102.0	28
Water (non-saline)	133.0	0.0	6025.0	4295.0	405.0	0.0	0.0	0.0	1714.0	0.0	24
Sediment (non-saline)	2.0	0.0	4464.0	1043.0	3248.0	0.0	1394.0	0.0	2272.0	0.0	47
Subsurface (non-saline)	1054.0	0.0	0.0	1472.0	0.0	0.0	0.0	0.0	0.0	0.0	10
Fungus corpus	0.0	0.0	173.0	199.0	0.0	0.0	97.0	0.0	0.0	0.0	12
Sterile water blank	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16
