sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.angenent.65.s009	7108.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.jensen.43.s016	6435.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.rohwer.86.s001	2960.0	Surface (saline)	Free-living	Saline	Surface (saline)	Surface (saline)
13114.song.51.s010	362.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.angenent.65.s003	3681.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.angenent.65.s004	15471.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.angenent.65.s007	25371.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.angenent.65.s008	8115.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.song.51.s007	8.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.stewart.26.s006	2.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.tucker.58.s008	1049.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.angenent.65.s001	44573.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.angenent.65.s002	35161.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.angenent.65.s006	7274.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.mousseau.88.s104	1510.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.sandin.54.s007	1.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (saline)
13114.song.51.s012	798.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s009	119.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s015	20.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.tucker.58.s005	5.0	Subsurface (non-saline)	Free-living	Non-saline	Subsurface (non-saline)	Subsurface (non-saline)
13114.tucker.58.s012	133.0	Water (non-saline)	Free-living	Non-saline	Water (non-saline)	Water (non-saline)
13114.angenent.65.s005	3865.0	Animal proximal gut	Host-associated	Animal	Animal proximal gut	Animal proximal gut (non-saline)
13114.berry.2.s002	2.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
13114.bittleston.68.s002	2167.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (non-saline)
13114.palenik.42.s013	13346.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.song.53.s005	13082.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s006	31.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s007	37415.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s014	937301.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.stewart.26.s002	129.0	Water (saline)	Free-living	Saline	Water (saline)	Water (saline)
13114.girguis.50.s004	3690.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (saline)
13114.song.53.s002	555.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s003	176.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s004	1194.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
13114.song.53.s012	213.0	Animal distal gut	Host-associated	Animal	Animal distal gut	Animal distal gut (non-saline)
