sample	abundance	category	empo_1	empo_2	empo_3	empo_4
13114.jensen.43.s014	1450.0	Sediment (saline)	Free-living	Saline	Sediment (saline)	Sediment (saline)
13114.king.27.s008	6860.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.mcmahon.21.s003	2097.0	Water (non-saline)	Free-living	Non-saline	Water (non-saline)	Water (non-saline)
13114.mcmahon.21.s004	902.0	Water (non-saline)	Free-living	Non-saline	Water (non-saline)	Water (non-saline)
13114.mcmahon.21.s015	2072.0	Water (non-saline)	Free-living	Non-saline	Water (non-saline)	Water (non-saline)
13114.mcmahon.21.s016	1129.0	Water (non-saline)	Free-living	Non-saline	Water (non-saline)	Water (non-saline)
13114.rohwer.84.s001	3109.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.rohwer.84.s003	1798.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.rohwer.84.s005	5819.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.rohwer.84.s006	3537.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (non-saline)
13114.roy.chowdhury.45.s015	1291.0	Soil (non-saline)	Free-living	Non-saline	Soil (non-saline)	Soil (saline)
13114.thomas.18.s017	693.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.18.s020	1384.0	Animal corpus	Host-associated	Animal	Animal corpus	Animal corpus (saline)
13114.thomas.19.s002	3999.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s014	3154.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s017	3029.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s018	3751.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s021	2644.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.thomas.19.s022	4893.0	Plant surface	Host-associated	Plant	Plant surface	Plant surface (saline)
13114.berry.2.s003	1916.0	Sediment (non-saline)	Free-living	Non-saline	Sediment (non-saline)	Sediment (non-saline)
