	category	Source	Yeast Percentage	n_samples
0	alcohol	Euk	100.0	42
1	fermented_beverages	Euk	99.2647058823529	408
2	fermented_tubers_and_roots	Euk	95.8333333333333	24
3	meat	Euk	95.6521739130435	70
4	fermented_fruits_and_vegetables	Euk	92.3076923076923	52
5	fermented_seeds	Euk	89.0909090909091	57
6	fermented_grains	Euk	88.75	83
7	fermented_fish	Euk	80.0	5
8	other	Euk	80.0	5
9	fermented_legumes	Euk	73.6842105263158	19
10	dairy	Euk	67.7005347593583	949
11	fermented_meat	Euk	39.622641509434	54
12	fish	Euk	36.5591397849462	93
13	fruits_and_vegetables	Euk	24.4897959183673	49
14	probiotics	Euk	7.40740740740741	31
15	alcohol	Kraken	100.0	42
16	fermented_fish	Kraken	100.0	5
17	fermented_seeds	Kraken	100.0	57
18	meat	Kraken	100.0	70
19	other	Kraken	100.0	5
20	fermented_tubers_and_roots	Kraken	100.0	24
21	fermented_beverages	Kraken	99.26470588235294	408
22	fruits_and_vegetables	Kraken	97.95918367346938	49
23	fermented_grains	Kraken	92.7710843373494	83
24	fermented_fruits_and_vegetables	Kraken	92.3076923076923	52
25	dairy	Kraken	92.20231822971547	949
26	fermented_legumes	Kraken	89.47368421052632	19
27	fish	Kraken	78.49462365591397	93
28	fermented_meat	Kraken	72.22222222222221	54
29	probiotics	Kraken	25.806451612903224	31
