label	Nofungal (RA)	Samples with Only Fungus (RA)	Samples with Yeast (RA)	n_samples
alcohol (42)	0.0	0.0	100.0	42
fermented_fish (5)	0.0	0.0	100.0	5
fermented_seeds (57)	0.0	0.0	100.0	57
meat (70)	0.0	0.0	100.0	70
other (5)	0.0	0.0	100.0	5
fermented_tubers_and_roots (24)	0.0	0.0	100.0	24
fermented_beverages (408)	0.0	0.7352941176470588	99.26470588235294	408
fruits_and_vegetables (49)	0.0	2.0408163265306123	97.95918367346938	49
fermented_grains (83)	0.0	7.228915662650602	92.7710843373494	83
fermented_fruits_and_vegetables (52)	0.0	7.6923076923076925	92.3076923076923	52
dairy (949)	0.9483667017913594	6.8493150684931505	92.20231822971549	949
fermented_legumes (19)	0.0	10.526315789473683	89.47368421052632	19
fish (93)	1.0752688172043012	20.43010752688172	78.49462365591397	93
fermented_meat (54)	1.8518518518518516	25.925925925925924	72.22222222222221	54
probiotics (31)	22.58064516129032	51.61290322580645	25.806451612903224	31
