	Saccharomyces	Brettanomyces	Kluyveromyces	Hanseniaspora	Debaryomyces	Pichia	Blastobotrys	Torulaspora	Lachancea	Metschnikowia	n_samples
dairy	4213003.0	441459337.0	401214538.0	42386.0	182965108.0	3133331.0	0.0	30844517.0	0.0	0.0	949
alcohol	449664965.0	8500084.0	277212.0	167893046.0	1503393.0	98949232.0	154.0	2885896.0	782200.0	15864383.0	42
fermented_beverages	244598264.0	58649375.0	15001.0	28733218.0	19655861.0	8365042.0	45842896.0	14204.0	26234091.0	1291.0	408
fermented_seeds	18350820.0	204.0	27713.0	58844237.0	723679.0	1384328.0	0.0	25072.0	0.0	0.0	57
fermented_grains	3708978.0	2163.0	278828.0	1286874.0	11267.0	4221799.0	0.0	6098.0	278.0	0.0	83
fermented_tubers_and_roots	30370.0	1484.0	4873416.0	93752.0	6574.0	3048943.0	0.0	1830.0	0.0	0.0	24
fermented_fruits_and_vegetables	64329.0	149442.0	3096.0	350784.0	81446.0	7148558.0	0.0	6051.0	0.0	24631.0	52
probiotics	6953218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31
meat	4373.0	0.0	0.0	860.0	2144650.0	0.0	0.0	0.0	0.0	0.0	70
fermented_meat	4344.0	0.0	0.0	0.0	1331112.0	63.0	0.0	0.0	0.0	0.0	54
fermented_fish	152253.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5
fish	0.0	0.0	0.0	0.0	5412.0	0.0	0.0	0.0	0.0	82430.0	93
fermented_legumes	27060.0	0.0	0.0	0.0	1009.0	301.0	19477.0	0.0	0.0	0.0	19
other	0.0	0.0	0.0	5499.0	0.0	0.0	0.0	0.0	0.0	41304.0	5
fruits_and_vegetables	0.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	0.0	0.0	49
