sample	abundance	category	sample_accession	run_accession	experiment_accession	study_accession	project_accession	macrocategory	type	subtype
DRR205701	496189.0	alcohol	DRS139333	DRR205701	DRX196100	DRP006123	PRJDB9193	food	grain	chinese_liquor
DRR205702	1633890.0	alcohol	DRS139334	DRR205702	DRX196101	DRP006123	PRJDB9193	food	grain	chinese_liquor
DRR205703	1298860.0	alcohol	DRS139335	DRR205703	DRX196102	DRP006123	PRJDB9193	food	grain	chinese_liquor
ERR11865276	248.0	dairy	ERS16281907	ERR11865276		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865296	4648.0	dairy	ERS16281927	ERR11865296		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865297	11781.0	dairy	ERS16281928	ERR11865297		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865298	8294.0	dairy	ERS16281929	ERR11865298		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865299	34956.0	dairy	ERS16281930	ERR11865299		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865313	1385.0	dairy	ERS16281944	ERR11865313		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865314	791.0	dairy	ERS16281945	ERR11865314		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865327	10573.0	dairy	ERS16281958	ERR11865327		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865344	259.0	dairy	ERS16281975	ERR11865344		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865360	1629.0	dairy	ERS16281991	ERR11865360		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865361	995.0	dairy	ERS16281992	ERR11865361		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865362	557.0	dairy	ERS16281993	ERR11865362		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865376	537.0	dairy	ERS16282007	ERR11865376		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865377	16760.0	dairy	ERS16282008	ERR11865377		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865378	4429.0	dairy	ERS16282009	ERR11865378		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865379	9279.0	dairy	ERS16282010	ERR11865379		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865380	3362.0	dairy	ERS16282011	ERR11865380		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865381	6048.0	dairy	ERS16282012	ERR11865381		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865382	641.0	dairy	ERS16282013	ERR11865382		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865384	963.0	dairy	ERS16282015	ERR11865384		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865401	22812.0	dairy	ERS16282032	ERR11865401		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865402	9039.0	dairy	ERS16282033	ERR11865402		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865403	22767.0	dairy	ERS16282034	ERR11865403		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865404	11146.0	dairy	ERS16282035	ERR11865404		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865405	5752.0	dairy	ERS16282036	ERR11865405		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865406	20085.0	dairy	ERS16282037	ERR11865406		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865407	3500.0	dairy	ERS16282038	ERR11865407		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR11865408	15093.0	dairy	ERS16282039	ERR11865408		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR1653130	708.0	dairy	ERS1354636	ERR1653130	ERX1723446	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653131	802.0	dairy	ERS1354637	ERR1653131	ERX1723447	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653135	59.0	dairy	ERS1354641	ERR1653135	ERX1723451	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653136	1042.0	dairy	ERS1354642	ERR1653136	ERX1723452	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653138	1118.0	dairy	ERS1354644	ERR1653138	ERX1723454	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653139	1572.0	dairy	ERS1354645	ERR1653139	ERX1723455	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653142	529.0	dairy	ERS1354648	ERR1653142	ERX1723458	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653145	1442.0	dairy	ERS1354651	ERR1653145	ERX1723461	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653146	1153.0	dairy	ERS1354652	ERR1653146	ERX1723462	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR2021947	49166.0	fermented_beverages	ERS1807706	ERR2021947	ERX2081102	ERP023873	PRJEB21603	food	water_kefir	water_kefir_figs
ERR2021948	39427.0	fermented_beverages	ERS1807707	ERR2021948	ERX2081103	ERP023873	PRJEB21603	food	water_kefir	water_kefir_figs
ERR2021949	51122.0	fermented_beverages	ERS1807708	ERR2021949	ERX2081104	ERP023873	PRJEB21603	food	water_kefir	water_kefir_figs
ERR2021950	17785.0	fermented_beverages	ERS1807709	ERR2021950	ERX2081105	ERP023873	PRJEB21603	food	water_kefir	water_kefir_figs
ERR2102261	239635.0	fermented_beverages	ERS1881306	ERR2102261	ERX2159572	ERP024546	PRJEB22200	food	tea	kombucha
ERR2126384	37132.0	fermented_beverages	ERS1932640	ERR2126384	ERX2183236	ERP024546	PRJEB22200	food	tea	kombucha
ERR2133080	47811.0	fermented_beverages	ERS1937969	ERR2133080	ERX2189932	ERP024546	PRJEB22200	food	tea	kombucha
ERR2135449	101568.0	fermented_beverages	ERS1939586	ERR2135449	ERX2192290	ERP024546	PRJEB22200	food	tea	kombucha
ERR2135457	46425.0	fermented_beverages	ERS1939594	ERR2135457	ERX2192298	ERP024546	PRJEB22200	food	tea	kombucha
ERR2135518	112237.0	fermented_beverages	ERS1939655	ERR2135518	ERX2192359	ERP024546	PRJEB22200	food	tea	kombucha
ERR2135519	961188.0	fermented_beverages	ERS1939656	ERR2135519	ERX2192360	ERP024546	PRJEB22200	food	tea	kombucha
ERR2401479	195998.0	fermented_beverages	ERS1937824	ERR2401479	ERX2442333	ERP024546	PRJEB22200	food	tea	kombucha
ERR2401480	50971.0	fermented_beverages	ERS1937969	ERR2401480	ERX2442334	ERP024546	PRJEB22200	food	tea	kombucha
ERR2401481	27466.0	fermented_beverages	ERS1939580	ERR2401481	ERX2442335	ERP024546	PRJEB22200	food	tea	kombucha
ERR2401482	143127.0	fermented_beverages	ERS1939593	ERR2401482	ERX2442336	ERP024546	PRJEB22200	food	tea	kombucha
ERR2437613	109907.0	fermented_beverages	ERS1875938	ERR2437613	ERX2457181	ERP024546	PRJEB22200	food	tea	kombucha
ERR2437614	18656.0	fermented_beverages	ERS1939657	ERR2437614	ERX2457182	ERP024546	PRJEB22200	food	tea	kombucha
ERR4757803	195.0	dairy	ERS3967688	ERR4757803	ERX4630953	ERP118359	PRJEB35321	food	cheese	wagashi
ERR4757804	11707.0	dairy	ERS3967689	ERR4757804	ERX4630954	ERP118359	PRJEB35321	food	cheese	wagashi
ERR4757805	25265.0	fermented_grains	ERS3967690	ERR4757805	ERX4630955	ERP118359	PRJEB35321	food	kvass	rye_bread_and_sugar_kvass
ERR4757807	3731.0	fermented_grains	ERS3967692	ERR4757807	ERX4630957	ERP118359	PRJEB35321	food	boza	
ERR4757809	14042.0	fermented_fruits_and_vegetables	ERS3967694	ERR4757809	ERX4630959	ERP118359	PRJEB35321	food	orange	
ERR4757810	7574.0	fermented_fruits_and_vegetables	ERS3967695	ERR4757810	ERX4630960	ERP118359	PRJEB35321	food	sauerkraut	
ERR4757811	11647.0	fermented_beverages	ERS3967696	ERR4757811	ERX4630961	ERP118359	PRJEB35321	food	tepache	ananas
ERR4757812	79041.0	alcohol	ERS3967697	ERR4757812	ERX4630962	ERP118359	PRJEB35321	food	ginger_beer	ginger
ERR4757816	76662.0	fermented_beverages	ERS3967701	ERR4757816	ERX4630966	ERP118359	PRJEB35321	food	water_kefir	water_kefir
ERR4757818	985.0	fermented_tubers_and_roots	ERS3967703	ERR4757818	ERX4630968	ERP118359	PRJEB35321	food	daikon	
ERR4757820	490.0	fermented_fruits_and_vegetables	ERS3967705	ERR4757820	ERX4630970	ERP118359	PRJEB35321	food	raw_sauerkraut_and_juniper_berries	
ERR4757821	2353.0	fermented_grains	ERS3967706	ERR4757821	ERX4630971	ERP118359	PRJEB35321	food	brown_rice_amazake	
ERR4757823	122.0	fermented_beverages	ERS3967708	ERR4757823	ERX4630973	ERP118359	PRJEB35321	food	water_kefir	water_kefir_fennel
ERR4757824	23014.0	alcohol	ERS3967709	ERR4757824	ERX4630974	ERP118359	PRJEB35321	food	mead	honey_mead
ERR4757825	131.0	fermented_fruits_and_vegetables	ERS3967710	ERR4757825	ERX4630975	ERP118359	PRJEB35321	food	sauerkraut	
ERR4757826	2392.0	fermented_fruits_and_vegetables	ERS3967711	ERR4757826	ERX4630976	ERP118359	PRJEB35321	food	sauerkraut	dill_dearg
ERR4757827	1179.0	fermented_fruits_and_vegetables	ERS3967712	ERR4757827	ERX4630977	ERP118359	PRJEB35321	food	kimchi	
ERR4757828	1324.0	fermented_fruits_and_vegetables	ERS3967713	ERR4757828	ERX4630978	ERP118359	PRJEB35321	food	sauerkraut	golden_child
ERR4757829	2928821.0	fermented_beverages	ERS3967714	ERR4757829	ERX4630979	ERP118359	PRJEB35321	food	water_kefir	water_kefir_hibiscus
ERR4757830	15027.0	fermented_beverages	ERS3967715	ERR4757830	ERX4630980	ERP118359	PRJEB35321	food	water_kefir	water_kefir_lemon
ERR4757831	902.0	fermented_beverages	ERS3967716	ERR4757831	ERX4630981	ERP118359	PRJEB35321	food	water_kefir	water_kefir_ginger
ERR4757832	996.0	fermented_beverages	ERS3967717	ERR4757832	ERX4630982	ERP118359	PRJEB35321	food	tea	kombucha_vinegar
ERR4757833	2619.0	dairy	ERS3967718	ERR4757833	ERX4630983	ERP118359	PRJEB35321	food	milk	ryazhenka
ERR4757834	913.0	dairy	ERS3967719	ERR4757834	ERX4630984	ERP118359	PRJEB35321	food	agousha	
ERR4757835	5829.0	dairy	ERS3967720	ERR4757835	ERX4630985	ERP118359	PRJEB35321	food	rostagroekport_voroznyj	
ERR4757836	112.0	dairy	ERS3967721	ERR4757836	ERX4630986	ERP118359	PRJEB35321	food	ruza	
ERR4757837	5078.0	fermented_fruits_and_vegetables	ERS3967722	ERR4757837	ERX4630987	ERP118359	PRJEB35321	food	sauerkraut	
ERR4757838	53615.0	fermented_beverages	ERS3967723	ERR4757838	ERX4630988	ERP118359	PRJEB35321	food	tea	kombucha
ERR4757839	1142.0	alcohol	ERS3967724	ERR4757839	ERX4630989	ERP118359	PRJEB35321	food	apple_cider_vinegar	
ERR4757840	214.0	dairy	ERS3967725	ERR4757840	ERX4630990	ERP118359	PRJEB35321	food	kefir	raw_milk_kefir
ERR4757842	103835.0	fermented_beverages	ERS3967727	ERR4757842	ERX4630992	ERP118359	PRJEB35321	food	water_kefir	water_kefir_pear_ginger_and_honey
ERR4757843	574888.0	fermented_beverages	ERS3967728	ERR4757843	ERX4630993	ERP118359	PRJEB35321	food	water_kefir	water_kefir_pear_ginger_and_sugar
ERR4757844	1060.0	fermented_fruits_and_vegetables	ERS3967729	ERR4757844	ERX4630994	ERP118359	PRJEB35321	food	dilly_carrots	
ERR4757847	3185.0	fermented_fruits_and_vegetables	ERS3967732	ERR4757847	ERX4630997	ERP118359	PRJEB35321	food	garlic	garlic_kraut
ERR4757848	6428.0	fermented_fruits_and_vegetables	ERS3967733	ERR4757848	ERX4630998	ERP118359	PRJEB35321	food	dukkah	dukkah_kraut
ERR4757849	797.0	fermented_tubers_and_roots	ERS3967734	ERR4757849	ERX4630999	ERP118359	PRJEB35321	food	ginger	ginger_sliced_in_2percent_brine
ERR4757851	676.0	fermented_fruits_and_vegetables	ERS3967736	ERR4757851	ERX4631001	ERP118359	PRJEB35321	food	okra	okra_in_2percent_brine
ERR4757852	835.0	fermented_fruits_and_vegetables	ERS3967737	ERR4757852	ERX4631002	ERP118359	PRJEB35321	food	tomato_and_mustards	tomato_and_mustards_seeds_in_2percent_brine
ERR4757854	111298.0	fermented_beverages	ERS3967739	ERR4757854	ERX4631004	ERP118359	PRJEB35321	food	water_kefir	water_kefir_cherry
ERR4757855	395.0	fermented_grains	ERS3967740	ERR4757855	ERX4631005	ERP118359	PRJEB35321	food	kvass	beet_kvass
ERR4757856	314.0	fermented_beverages	ERS3967741	ERR4757856	ERX4631006	ERP118359	PRJEB35321	food	water_kefir	water_kefir_coconut
ERR4757857	82.0	fermented_fruits_and_vegetables	ERS3967742	ERR4757857	ERX4631007	ERP118359	PRJEB35321	food	carrot_sticks	
ERR4757859	241.0	fermented_beverages	ERS3967744	ERR4757859	ERX4631009	ERP118359	PRJEB35321	food	lemon_and_ginger_gizz	
ERR4757860	1338.0	fermented_fruits_and_vegetables	ERS3967745	ERR4757860	ERX4631010	ERP118359	PRJEB35321	food	kimchi	scallion_kimchi
SRR10454481	12925.0	fermented_grains	SRS5653346	SRR10454481	SRX7149054	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454482	20365.0	fermented_grains	SRS5653333	SRR10454482	SRX7149053	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454483	273263.0	fermented_grains	SRS5653255	SRR10454483	SRX7149052	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
