sample	abundance	category	sample_accession	run_accession	experiment_accession	study_accession	project_accession	macrocategory	type	subtype
DRR000713	25760.0	fish	DRS000406	DRR000713	DRX000444	DRP000303	PRJDA53873	food	paralichthys_olivaceus	control_sample_of_paralichthys_olivaceus
ERR11641224	33.0	fish	ERS15563585	ERR11641224	ERX11043206	ERP147913	PRJEB62794	food	cod	
ERR11641227	1281.0	fish	ERS15563598	ERR11641227	ERX11043209	ERP147913	PRJEB62794	food	haddock	
ERR11641277	2143.0	fish	ERS15563586	ERR11641277	ERX11043259	ERP147913	PRJEB62794	food	cod	
ERR11641279	1359.0	fish	ERS15563599	ERR11641279	ERX11043261	ERP147913	PRJEB62794	food	haddock	
ERR11641474	671.0	fish	ERS15563612	ERR11641474	ERX11043456	ERP147913	PRJEB62794	food	salmon	
ERR11641475	1454.0	fish	ERS15563613	ERR11641475	ERX11043457	ERP147913	PRJEB62794	food	salmon	
ERR11642240	3170.0	fish	ERS15563625	ERR11642240	ERX11044222	ERP147913	PRJEB62794	food	cod	
ERR11642242	12575.0	fish	ERS15563626	ERR11642242	ERX11044224	ERP147913	PRJEB62794	food	cod	
ERR11642616	232.0	fish	ERS15563641	ERR11642616	ERX11044598	ERP147913	PRJEB62794	food	arctic_char	
ERR11642617	371.0	fish	ERS15563642	ERR11642617	ERX11044599	ERP147913	PRJEB62794	food	salmon	
ERR11647612	4.0	fish	ERS15563653	ERR11647612	ERX11049594	ERP147913	PRJEB62794	food	arctic_char	
ERR11865389	19991.0	dairy	ERS16282020	ERR11865389		ERP150416	PRJEB65292	food	kefir	milk_kefir
ERR1653129	841.0	dairy	ERS1354635	ERR1653129	ERX1723445	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653132	3896.0	dairy	ERS1354638	ERR1653132	ERX1723448	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653137	1753.0	dairy	ERS1354643	ERR1653137	ERX1723453	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653140	754.0	dairy	ERS1354646	ERR1653140	ERX1723456	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653141	615.0	dairy	ERS1354647	ERR1653141	ERX1723457	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR1653143	2280.0	dairy	ERS1354649	ERR1653143	ERX1723459	ERP017163	PRJEB15432	food	kefir	milk_kefir
ERR2014811	5087.0	dairy	ERS1739834	ERR2014811	ERX2074393	ERP023064	PRJEB20873	food	nunu	
ERR2982980	935.0	dairy	ERS2955443	ERR2982980	ERX2985738	ERP112494	PRJEB30083	food	yogurt	ovine_pastorized-milk_yogurt
ERR2982982	10.0	dairy	ERS2955445	ERR2982982	ERX2985740	ERP112494	PRJEB30083	food	yogurt	ovine_pastorized-milk_yogurt
ERR2982984	3.0	dairy	ERS2955447	ERR2982984	ERX2985742	ERP112494	PRJEB30083	food	yogurt	ovine_pastorized-milk_yogurt
ERR3143461	679.0	dairy	ERS3128644	ERR3143461	ERX3172427	ERP113625	PRJEB31110	food	milk	whole_milk
ERR3143462	214.0	dairy	ERS3128645	ERR3143462	ERX3172428	ERP113625	PRJEB31110	food	milk	whole_milk
ERR3143463	38.0	dairy	ERS3128646	ERR3143463	ERX3172429	ERP113625	PRJEB31110	food	milk	skimmed_milk
ERR3143466	6.0	dairy	ERS3128649	ERR3143466	ERX3172432	ERP113625	PRJEB31110	food	milk	skimmed_milk_powder
ERR3143469	837.0	dairy	ERS3128652	ERR3143469	ERX3172435	ERP113625	PRJEB31110	food	milk	whole_milk
ERR3143470	617.0	dairy	ERS3128653	ERR3143470	ERX3172436	ERP113625	PRJEB31110	food	milk	whole_milk
ERR3143471	153.0	dairy	ERS3128654	ERR3143471	ERX3172437	ERP113625	PRJEB31110	food	milk	skimmed_milk
ERR3143472	111.0	dairy	ERS3128655	ERR3143472	ERX3172438	ERP113625	PRJEB31110	food	milk	skimmed_milk
ERR3143473	239.0	dairy	ERS3128656	ERR3143473	ERX3172439	ERP113625	PRJEB31110	food	milk	skimmed_milk_powder
ERR3143474	127.0	dairy	ERS3128657	ERR3143474	ERX3172440	ERP113625	PRJEB31110	food	milk	skimmed_milk_powder
ERR3143475	149.0	dairy	ERS3128658	ERR3143475	ERX3172441	ERP113625	PRJEB31110	food	milk	skimmed_milk_powder
ERR3479076	1412.0	fermented_meat	ERS3651755	ERR3479076	ERX3500635	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479077	888.0	fermented_meat	ERS3651756	ERR3479077	ERX3500636	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479078	997.0	fermented_meat	ERS3651757	ERR3479078	ERX3500637	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479079	348.0	fermented_meat	ERS3651758	ERR3479079	ERX3500638	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479080	475.0	fermented_meat	ERS3651759	ERR3479080	ERX3500639	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479083	949.0	fermented_meat	ERS3651762	ERR3479083	ERX3500642	ERP116842	PRJEB34001	food	cattle_pig_chicken_and_turkey_sausage	calibraton_sausage_containing_cattle_pig_chicken_and_turkey_meat
ERR3479084	1342.0	fermented_meat	ERS3651751	ERR3479084	ERX3500643	ERP116842	PRJEB34001	food	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat
ERR3479085	46.0	fermented_meat	ERS3651752	ERR3479085	ERX3500644	ERP116842	PRJEB34001	food	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat
ERR3479086	472.0	fermented_meat	ERS3651753	ERR3479086	ERX3500645	ERP116842	PRJEB34001	food	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat
ERR3479087	18.0	fermented_meat	ERS3651754	ERR3479087	ERX3500646	ERP116842	PRJEB34001	food	cattle_pig_sheep_and_horse_sausage	calibraton_sausage_containing_cattle_pig_sheep_and_horse_meat
ERR3964979	3.0	dairy	ERS4361128	ERR3964979	ERX3968322	ERP120265	PRJEB36988	food	laban	fermented_milk
ERR4142708	856.0	dairy	SAMEA6828613	ERR4142708	ERX4109999	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142709	925.0	dairy	SAMEA6828614	ERR4142709	ERX4110000	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142714	939.0	dairy	SAMEA6828619	ERR4142714	ERX4110005	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142715	819.0	dairy	SAMEA6828620	ERR4142715	ERX4110006	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142717	1006.0	dairy	SAMEA6828622	ERR4142717	ERX4110008	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142718	909.0	dairy	SAMEA6828623	ERR4142718	ERX4110009	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4142721	3697.0	dairy	SAMEA6828626	ERR4142721	ERX4110012	ERP121482	PRJEB38099	food	raw_milk	bovine_milk
ERR4757858	27465.0	dairy	ERS3967743	ERR4757858	ERX4631008	ERP118359	PRJEB35321	food	yogurt	labne
ERR752912	28883.0	dairy	ERS654083	ERR752912	ERX696594	ERP006630	PRJEB6952	food	cheese	continental-type_cheese
ERR752913	27489.0	dairy	ERS654084	ERR752913	ERX696595	ERP006630	PRJEB6952	food	cheese	continental-type_cheese
ERR752914	20071.0	dairy	ERS654085	ERR752914	ERX696596	ERP006630	PRJEB6952	food	cheese	continental-type_cheese
ERR752915	26895.0	dairy	ERS654086	ERR752915	ERX696597	ERP006630	PRJEB6952	food	cheese	continental-type_cheese
ERR752916	30475.0	dairy	ERS654087	ERR752916	ERX696598	ERP006630	PRJEB6952	food	cheese	continental-type_cheese
SRR10454488	136926.0	fermented_grains	SRS5653283	SRR10454488	SRX7149047	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454496	98030.0	fermented_grains	SRS5652995	SRR10454496	SRX7149039	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454505	80934.0	fermented_grains	SRS5653156	SRR10454505	SRX7149030	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454508	237300.0	fermented_grains	SRS5653388	SRR10454508	SRX7149027	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR10454518	102317.0	fermented_grains	SRS5653047	SRR10454518	SRX7149017	SRP230115	PRJNA589612	food	sourdough	sourdough_starter
SRR11605261	41805.0	dairy	SRS6525472	SRR11605261	SRX8171767	SRP258112	PRJNA603575	food	yogurt	
SRR11605270	30719.0	probiotics	SRS6525479	SRR11605270	SRX8171758	SRP258112	PRJNA603575	food	probiotics	
SRR11605271	28103.0	probiotics	SRS6525478	SRR11605271	SRX8171757	SRP258112	PRJNA603575	food	probiotics	
SRR12227959	6543.0	fermented_meat	SAMN15539502	SRR12227959	SRX8736548	SRP272053	PRJNA636619	food	meat	pig_sausage
SRR20746821	38283.0	dairy	SAMN30094250	SRR20746821	SRX16767245	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746823	6794.0	dairy	SAMN30094248	SRR20746823	SRX16767243	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746825	6368.0	dairy	SAMN30094246	SRR20746825	SRX16767241	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746827	24404.0	dairy	SAMN30094244	SRR20746827	SRX16767239	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746829	18970.0	dairy	SAMN30094243	SRR20746829	SRX16767237	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746830	42927.0	dairy	SAMN30094242	SRR20746830	SRX16767236	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746832	69906.0	dairy	SAMN30094240	SRR20746832	SRX16767234	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
SRR20746844	28099.0	dairy	SAMN30094312	SRR20746844	SRX16767222	SRP389312	PRJNA865096	food	cheese	raw_milk_cheese
