	sample_name	reads_length	status
0	13114.angenent.65.s009	4621476	Present
1	13114.bittleston.68.s010	5807606	Present
2	13114.bowen.74.s013	23612144	Present
3	13114.jensen.43.s003	20898594	Present
4	13114.jensen.43.s014	1886002	Absent
5	13114.jensen.43.s016	18685370	Present
6	13114.king.27.s008	14220040	Absent
7	13114.mayer.33.s007	25189284	Present
8	13114.mcmahon.21.s003	5875872	Absent
9	13114.mcmahon.21.s004	4248634	Absent
10	13114.mcmahon.21.s015	5317150	Absent
11	13114.mcmahon.21.s016	3027698	Absent
12	13114.myrold.5.s003	145309534	Present
13	13114.myrold.5.s004	14181796	Present
14	13114.myrold.5.s008	91233900	Present
15	13114.myrold.59.s006	21110084	Present
16	13114.myrold.59.s019	7826580	Present
17	13114.pinto.63.s003	8885858	Present
18	13114.rohwer.84.s001	6608944	Absent
19	13114.rohwer.84.s003	2009072	Absent
20	13114.rohwer.84.s005	22751892	Absent
21	13114.rohwer.84.s006	15173400	Absent
22	13114.rohwer.86.s001	21133670	Present
23	13114.roy.chowdhury.45.s015	11003848	Absent
24	13114.sandin.54.s009	18712218	Present
25	13114.sandin.54.s011	18671798	Present
26	13114.song.51.s010	30827864	Present
27	13114.song.53.s013	8243484	Present
28	13114.stegen.36.s010	141443184	Present
29	13114.stegen.37.s004	16410362	Present
30	13114.thomas.18.s017	4965640	Absent
31	13114.thomas.18.s018	5162644	Present
32	13114.thomas.18.s020	9995682	Absent
33	13114.thomas.19.s002	7128680	Absent
34	13114.thomas.19.s014	3994260	Absent
35	13114.thomas.19.s017	4321606	Absent
36	13114.thomas.19.s018	5156400	Absent
37	13114.thomas.19.s021	3246922	Absent
38	13114.thomas.19.s022	6968988	Absent
39	13114.thomas.19.s025	4075294	Present
40	13114.tucker.58.s014	2794174	Present
41	13114.zaneveld.9.s006	19180116	Present
42	13114.angenent.65.s003	3203010	Present
43	13114.angenent.65.s004	6527168	Present
44	13114.angenent.65.s007	21949208	Present
45	13114.angenent.65.s008	4144210	Present
46	13114.berry.2.s001	21406882	Present
47	13114.berry.2.s003	18594710	Absent
48	13114.bittleston.68.s003	17651038	Present
49	13114.bittleston.68.s006	16786652	Present
50	13114.bittleston.68.s014	5042178	Present
51	13114.bowen.74.s006	18865838	Absent
52	13114.bowen.74.s008	5475146	Present
53	13114.bowen.74.s015	20074884	Present
54	13114.distel.72.s007	7630616	Absent
55	13114.girguis.50.s005	45668360	Absent
56	13114.jensen.43.s001	12962990	Absent
57	13114.jensen.43.s005	2493564	Absent
58	13114.jensen.43.s015	17058966	Absent
59	13114.king.27.s005	7325404	Absent
60	13114.king.27.s009	5596244	Absent
61	13114.king.27.s013	18881676	Present
62	13114.king.27.s016	15974958	Absent
63	13114.macrae.crerar.3.s004	22964122	Present
64	13114.macrae.crerar.3.s005	16026964	Present
65	13114.macrae.crerar.3.s009	95691998	Present
66	13114.macrae.crerar.3.s012	18158642	Present
67	13114.makhalanyane.46.s010	16273326	Present
68	13114.mayer.34.s002	21665266	Present
69	13114.mayer.34.s004	12023314	Absent
70	13114.mayer.34.s006	15394676	Present
71	13114.mcmahon.21.s001	3394082	Present
72	13114.mcmahon.21.s002	4337854	Absent
73	13114.mcmahon.21.s005	5045316	Absent
74	13114.mcmahon.21.s006	2976416	Absent
75	13114.mcmahon.21.s007	5000662	Absent
76	13114.mcmahon.21.s011	8994320	Absent
77	13114.mcmahon.21.s012	2367226	Absent
78	13114.mcmahon.21.s013	4466818	Absent
79	13114.mcmahon.21.s014	4230240	Absent
80	13114.mcmahon.21.s017	4714442	Absent
81	13114.metcalf.40.s002	17504588	Present
82	13114.metcalf.40.s006	22865776	Present
83	13114.metcalf.40.s014	13573334	Present
84	13114.myrold.5.s007	31479704	Present
85	13114.myrold.5.s009	21436330	Present
86	13114.myrold.59.s005	13428290	Present
87	13114.myrold.59.s021	6449082	Present
88	13114.myrold.59.s022	10548926	Present
89	13114.palenik.42.s009	22698742	Absent
90	13114.palenik.42.s016	4454200	Absent
91	13114.palenik.42.s017	15985952	Present
92	13114.palenik.42.s019	20539554	Present
93	13114.pinto.63.s004	21014118	Absent
94	13114.pinto.63.s011	19273576	Present
95	13114.pinto.63.s021	3260880	Absent
96	13114.pinto.63.s025	15498502	Present
97	13114.rohwer.84.s002	4004280	Absent
98	13114.rohwer.84.s004	4622066	Absent
99	13114.rohwer.84.s014	1314976	Present
100	13114.rohwer.85.s001	7838856	Present
101	13114.rohwer.85.s005	1101904	Present
102	13114.rohwer.85.s006	10988718	Present
103	13114.rohwer.85.s019	20605622	Present
104	13114.rohwer.85.s022	15574286	Present
105	13114.roy.chowdhury.45.s010	1928612	Absent
106	13114.roy.chowdhury.45.s016	13521414	Absent
107	13114.sandin.54.s004	27756388	Present
108	13114.sandin.54.s013	5448764	Present
109	13114.seedorf.71.s001	13542234	Absent
110	13114.seedorf.71.s009	43463498	Present
111	13114.seedorf.71.s011	21856984	Present
112	13114.seedorf.71.s014	20949974	Present
113	13114.shade.23.s006	4762918	Absent
114	13114.shade.23.s008	59438706	Present
115	13114.smith.39.s001	5639128	Present
116	13114.smith.39.s006	1923314	Absent
117	13114.song.51.s007	35587402	Present
118	13114.song.52.s003	41732186	Present
119	13114.song.52.s007	41763760	Present
120	13114.song.52.s009	41411170	Present
121	13114.song.52.s014	33815218	Present
122	13114.song.52.s015	14929704	Present
123	13114.song.53.s001	41016756	Absent
124	13114.stegen.36.s003	3446194	Absent
125	13114.stegen.36.s007	9914708	Absent
126	13114.stegen.36.s013	14393346	Absent
127	13114.stegen.38.s003	3846336	Present
128	13114.stewart.26.s005	3794358	Present
129	13114.stewart.26.s006	3934488	Present
130	13114.stewart.26.s007	16695652	Present
131	13114.tait.77.s003	19201798	Present
132	13114.tait.77.s009	21223078	Present
133	13114.thomas.18.s004	5243684	Absent
134	13114.thomas.18.s005	6080374	Absent
135	13114.thomas.18.s006	4164988	Absent
136	13114.thomas.18.s007	6648462	Absent
137	13114.thomas.18.s008	11111236	Present
138	13114.thomas.18.s011	5302460	Absent
139	13114.thomas.18.s022	4964602	Present
140	13114.thomas.18.s027	2736236	Present
141	13114.thomas.19.s003	3592336	Absent
142	13114.thomas.19.s004	4312076	Absent
143	13114.thomas.19.s007	4565636	Absent
144	13114.thomas.19.s008	6687702	Absent
145	13114.thomas.19.s009	3400836	Absent
146	13114.thomas.19.s010	5344968	Absent
148	13114.thomas.19.s019	6271614	Absent
149	13114.thomas.19.s020	5079776	Absent
150	13114.thomas.19.s023	4781262	Absent
151	13114.thomas.19.s024	5793454	Present
152	13114.thomas.19.s026	4846662	Absent
153	13114.tucker.58.s008	464338	Present
154	13114.tucker.58.s016	23993374	Present
155	13114.uren.82.s002	3285798	Present
156	13114.zaneveld.9.s003	19190030	Present
157	13114.zaneveld.9.s008	15967840	Present
158	13114.zaneveld.9.s016	9359116	Present
165	13114.angenent.65.s001	18152396	Present
166	13114.angenent.65.s002	22607094	Present
167	13114.angenent.65.s006	5175088	Present
168	13114.berry.2.s006	16431896	Present
169	13114.berry.2.s008	27625858	Absent
170	13114.berry.2.s013	25438624	Present
171	13114.berry.2.s016	20730642	Present
172	13114.berry.2.s017	14324750	Present
173	13114.berry.2.s019	12549480	Present
174	13114.bittleston.68.s001	5637018	Present
175	13114.bittleston.68.s005	18365436	Present
176	13114.bittleston.68.s008	17844580	Present
177	13114.bittleston.68.s012	4804516	Present
178	13114.bittleston.68.s015	2143214	Absent
179	13114.bowen.74.s004	20005220	Absent
180	13114.distel.72.s005	17116310	Present
181	13114.distel.72.s011	22707816	Absent
182	13114.distel.72.s015	24710030	Present
183	13114.girguis.50.s008	37244198	Present
184	13114.jensen.43.s002	941944	Absent
185	13114.jensen.43.s004	12381348	Present
186	13114.jensen.43.s006	20673946	Absent
187	13114.jensen.43.s007	14721568	Present
188	13114.jensen.43.s008	1574594	Present
189	13114.jensen.43.s009	10140742	Present
190	13114.jensen.43.s010	22466786	Present
191	13114.jensen.43.s011	23131672	Present
192	13114.jensen.43.s017	8183722	Absent
193	13114.jensen.43.s019	18044200	Present
194	13114.king.27.s001	31839284	Present
195	13114.king.27.s003	1919446	Absent
196	13114.king.27.s004	4398938	Absent
197	13114.king.27.s014	7629198	Absent
199	13114.king.27.s018	4541220	Absent
200	13114.king.27.s020	18802102	Present
202	13114.macrae.crerar.3.s002	14304614	Present
203	13114.macrae.crerar.3.s003	15072172	Absent
204	13114.macrae.crerar.3.s006	10465424	Present
205	13114.macrae.crerar.3.s008	4508926	Absent
206	13114.macrae.crerar.3.s010	4907550	Present
207	13114.makhalanyane.46.s002	750	Present
208	13114.makhalanyane.46.s005	207812	Present
209	13114.makhalanyane.46.s009	155732	Present
210	13114.makhalanyane.47.s001	3654	Absent
213	13114.mayer.33.s004	22197846	Present
214	13114.mayer.34.s007	17610084	Present
215	13114.mayer.34.s008	21665692	Present
216	13114.mcmahon.21.s009	28650678	Present
217	13114.metcalf.40.s003	4240890	Present
218	13114.metcalf.40.s004	10128042	Present
219	13114.metcalf.40.s005	19144964	Present
220	13114.metcalf.40.s009	22194584	Absent
221	13114.metcalf.40.s010	21326452	Absent
222	13114.metcalf.40.s013	18093010	Present
223	13114.metcalf.81.s001	24167238	Present
224	13114.metcalf.81.s002	20352622	Present
225	13114.metcalf.81.s003	24305546	Present
226	13114.minich.76.s004	9241736	Present
227	13114.mousseau.88.s011	151174046	Present
228	13114.mousseau.88.s016	178639060	Present
229	13114.mousseau.88.s019	250066480	Present
230	13114.mousseau.88.s020	646110	Absent
231	13114.mousseau.88.s030	30810488	Absent
232	13114.mousseau.88.s036	6216332	Present
233	13114.mousseau.88.s046	16885242	Absent
234	13114.mousseau.88.s048	581294	Absent
235	13114.mousseau.88.s049	14911492	Present
236	13114.mousseau.88.s053	14765916	Present
237	13114.mousseau.88.s055	15534702	Present
238	13114.mousseau.88.s058	17708506	Absent
239	13114.mousseau.88.s066	8725194	Present
240	13114.mousseau.88.s067	158298	Absent
241	13114.mousseau.88.s085	3204152	Present
242	13114.mousseau.88.s086	16208164	Absent
243	13114.mousseau.88.s104	11397892	Present
244	13114.myrold.5.s001	19329976	Present
245	13114.myrold.5.s005	35170344	Present
246	13114.myrold.5.s006	28949330	Present
247	13114.myrold.5.s012	15461678	Present
248	13114.myrold.59.s001	15309182	Present
249	13114.myrold.59.s012	3342	Absent
250	13114.myrold.59.s017	11231540	Present
251	13114.myrold.59.s020	4624324	Present
252	13114.palenik.42.s007	22963314	Present
253	13114.palenik.42.s014	542286	Present
254	13114.palenik.42.s015	17293986	Present
255	13114.palenik.42.s018	23761762	Present
256	13114.pinto.63.s001	13420420	Absent
257	13114.pinto.63.s009	19167348	Present
258	13114.pinto.63.s013	17629558	Present
259	13114.pinto.63.s014	13876276	Present
260	13114.pinto.63.s015	18901936	Absent
261	13114.pinto.63.s016	23414694	Absent
262	13114.pinto.63.s026	4482928	Present
263	13114.pinto.63.s028	16809322	Present
264	13114.rohwer.84.s007	20381844	Absent
266	13114.rohwer.85.s010	129158	Present
267	13114.rohwer.85.s011	9825476	Present
268	13114.rohwer.85.s023	93648	Absent
269	13114.rohwer.85.s024	1671252	Present
270	13114.rohwer.85.s025	98200	Absent
271	13114.roy.chowdhury.45.s001	155428	Present
274	13114.roy.chowdhury.45.s005	3746	Absent
275	13114.roy.chowdhury.45.s006	14358292	Absent
276	13114.roy.chowdhury.45.s007	14643980	Present
277	13114.roy.chowdhury.45.s009	138626	Absent
278	13114.roy.chowdhury.45.s011	591374	Absent
280	13114.roy.chowdhury.45.s020	16204852	Absent
281	13114.roy.chowdhury.45.s021	7684548	Present
282	13114.sandin.54.s001	126006	Present
283	13114.sandin.54.s002	139938	Absent
284	13114.sandin.54.s005	604754	Present
285	13114.sandin.54.s007	5034502	Present
286	13114.sandin.54.s010	17071184	Absent
287	13114.sandin.54.s014	22559710	Absent
288	13114.schmidt.56.s002	1016430	Present
289	13114.schmidt.56.s005	22018	Absent
290	13114.schmidt.56.s010	2944	Absent
292	13114.schmidt.56.s012	14047906	Present
293	13114.schmidt.56.s014	15487226	Present
295	13114.schmidt.56.s019	22666	Absent
296	13114.schmidt.56.s024	18751984	Present
297	13114.seedorf.71.s003	16873506	Present
298	13114.seedorf.71.s007	13725482	Absent
299	13114.seedorf.71.s008	213564	Present
300	13114.seedorf.71.s010	42771352	Present
301	13114.shade.23.s001	318730	Absent
302	13114.shade.23.s002	85721202	Present
303	13114.shade.23.s003	16497058	Present
304	13114.smith.39.s002	4910318	Absent
305	13114.smith.39.s004	846234	Absent
306	13114.smith.39.s005	24153408	Present
307	13114.smith.39.s008	401574	Absent
308	13114.song.51.s011	45095710	Present
309	13114.song.51.s012	36140640	Present
310	13114.song.51.s019	41514714	Present
311	13114.song.52.s005	35372506	Absent
312	13114.song.52.s006	32812416	Present
313	13114.song.53.s009	16774274	Present
314	13114.song.53.s015	77065632	Present
315	13114.stegen.36.s004	23390706	Present
316	13114.stegen.36.s005	45940	Absent
317	13114.stegen.36.s008	17208800	Absent
318	13114.stegen.36.s012	20724106	Present
319	13114.stegen.36.s015	9716910	Present
321	13114.stegen.38.s001	25418686	Present
322	13114.stegen.38.s002	32445234	Present
323	13114.stegen.38.s006	26244986	Present
324	13114.stegen.38.s008	372206	Absent
325	13114.stegen.38.s010	1089230	Absent
326	13114.stegen.38.s012	29624118	Present
327	13114.stegen.38.s013	17762848	Present
328	13114.stewart.26.s001	10400484	Absent
329	13114.stewart.26.s003	1325160	Present
330	13114.tait.77.s002	18283236	Present
331	13114.tait.77.s006	17996486	Present
332	13114.tait.77.s007	17013110	Present
333	13114.tait.78.s001	27740268	Absent
