	File_ID	reads_length	status
0	DRR000713	11442510	Absent
1	DRR000714	7945318	Present
2	DRR205701	113438276	Present
3	DRR205702	112992078	Present
4	DRR205703	131517470	Present
5	ERR11641224	166748	Absent
6	ERR11641227	612790	Absent
7	ERR11641277	859724	Absent
8	ERR11641279	713730	Absent
9	ERR11641474	193888	Absent
10	ERR11641475	707708	Absent
11	ERR11642240	812426	Absent
12	ERR11642242	2396886	Absent
13	ERR11642616	402954	Absent
14	ERR11642617	916204	Absent
15	ERR11647612	161338	Absent
16	ERR11718190	3847286	Present
17	ERR11718191	1466798	Present
18	ERR11718192	5203660	Present
19	ERR11718193	2821106	Present
20	ERR11718194	4199262	Present
21	ERR11718195	3000112	Present
22	ERR11718196	5297792	Present
23	ERR11718197	5403412	Present
24	ERR11718198	3022648	Present
25	ERR11718199	2245604	Present
26	ERR11718200	4662608	Present
27	ERR11718201	1705548	Present
28	ERR11718202	3344478	Present
29	ERR11718203	1385516	Present
30	ERR11718204	7162362	Present
31	ERR11718205	1748956	Present
32	ERR11718206	2788776	Present
33	ERR11718207	3916876	Present
34	ERR11718208	6238980	Present
35	ERR11865276	3321934	Present
36	ERR11865277	3471678	Present
37	ERR11865278	3983030	Present
38	ERR11865284	2562244	Present
39	ERR11865285	3367396	Present
40	ERR11865286	3807890	Present
41	ERR11865287	3798576	Present
42	ERR11865288	2925436	Present
43	ERR11865289	2875408	Present
44	ERR11865290	3989350	Present
45	ERR11865291	3775302	Present
46	ERR11865292	1502944	Present
47	ERR11865293	3266868	Present
48	ERR11865294	3283078	Present
49	ERR11865295	3107352	Present
50	ERR11865296	2587150	Present
51	ERR11865297	1930670	Present
52	ERR11865298	3441656	Present
53	ERR11865299	4169542	Present
54	ERR11865300	2460712	Present
55	ERR11865301	3348920	Present
56	ERR11865302	3993240	Present
57	ERR11865303	5615918	Present
58	ERR11865304	2271690	Present
59	ERR11865305	3153750	Present
60	ERR11865306	3350696	Present
61	ERR11865307	3667442	Present
62	ERR11865308	3340374	Present
63	ERR11865309	2959322	Present
64	ERR11865310	4071192	Present
65	ERR11865311	4086844	Present
66	ERR11865312	2937754	Present
67	ERR11865313	3998662	Present
68	ERR11865314	4174318	Present
69	ERR11865315	3635388	Present
70	ERR11865316	1805846	Present
71	ERR11865317	3380678	Present
72	ERR11865318	3561900	Present
73	ERR11865319	3274360	Present
74	ERR11865320	1637792	Present
75	ERR11865321	2855682	Present
76	ERR11865322	3755056	Present
77	ERR11865323	3763122	Present
78	ERR11865324	2020182	Present
79	ERR11865325	2551806	Present
80	ERR11865326	4103258	Present
81	ERR11865327	3042216	Present
82	ERR11865328	886562	Present
83	ERR11865329	2568230	Present
84	ERR11865330	3854746	Present
85	ERR11865331	3413650	Present
86	ERR11865332	1280944	Present
87	ERR11865333	3189250	Present
88	ERR11865334	3924746	Present
89	ERR11865335	3211568	Present
90	ERR11865336	1079508	Present
91	ERR11865337	3860924	Present
92	ERR11865338	2961682	Present
93	ERR11865339	5565760	Present
94	ERR11865340	1052188	Present
95	ERR11865341	3645714	Present
96	ERR11865342	4039096	Present
97	ERR11865343	5116158	Present
98	ERR11865344	1959258	Present
99	ERR11865345	3637742	Present
100	ERR11865346	4823354	Present
101	ERR11865347	5237312	Present
102	ERR11865348	2662248	Present
103	ERR11865349	4304870	Present
104	ERR11865350	4214398	Present
105	ERR11865351	3287496	Present
106	ERR11865352	3370724	Present
107	ERR11865353	3414598	Present
108	ERR11865354	3522536	Present
109	ERR11865355	3666642	Present
110	ERR11865356	3897738	Present
111	ERR11865357	3205792	Present
112	ERR11865358	3751670	Present
113	ERR11865359	3829562	Present
114	ERR11865360	4388140	Present
115	ERR11865361	3920494	Present
116	ERR11865362	3780824	Present
117	ERR11865363	4384732	Present
118	ERR11865364	2335640	Present
119	ERR11865365	3865492	Present
120	ERR11865366	17585528	Present
121	ERR11865367	2002306	Present
122	ERR11865368	4810802	Present
123	ERR11865369	4546532	Present
124	ERR11865370	3891648	Present
125	ERR11865371	3611752	Present
126	ERR11865372	4656352	Present
127	ERR11865373	4103048	Present
128	ERR11865374	4597640	Present
129	ERR11865375	4251262	Present
130	ERR11865376	4501806	Present
131	ERR11865377	3602426	Present
132	ERR11865378	3199674	Present
133	ERR11865379	4773962	Present
134	ERR11865380	4036986	Present
135	ERR11865381	3143830	Present
136	ERR11865382	4067026	Present
137	ERR11865383	4289856	Present
138	ERR11865384	4929082	Present
139	ERR11865385	1818052	Present
140	ERR11865386	2476452	Present
141	ERR11865387	3895944	Present
142	ERR11865388	3837104	Present
143	ERR11865389	3155362	Absent
144	ERR11865390	3279540	Present
145	ERR11865391	3189202	Present
146	ERR11865392	3771498	Present
147	ERR11865393	3035406	Present
148	ERR11865394	3113684	Present
149	ERR11865395	3776022	Present
150	ERR11865396	3801062	Present
151	ERR11865397	2378508	Present
152	ERR11865398	3308362	Present
153	ERR11865399	4509128	Present
154	ERR11865400	3829832	Present
155	ERR11865401	2842178	Present
156	ERR11865402	2900324	Present
157	ERR11865403	3794184	Present
158	ERR11865404	3829564	Present
159	ERR11865405	2746336	Present
160	ERR11865406	4051368	Present
161	ERR11865407	3179860	Present
162	ERR11865408	3982596	Present
163	ERR11865409	3279320	Present
164	ERR11865410	3353284	Present
165	ERR11865411	3973558	Present
166	ERR11865412	3931362	Present
167	ERR11865413	2436436	Present
168	ERR11865414	4025820	Present
169	ERR11865415	4151438	Present
170	ERR11865416	4073764	Present
171	ERR11865417	3296512	Present
172	ERR11865418	3830318	Present
173	ERR11865419	4070650	Present
174	ERR11865420	4205046	Present
175	ERR11865421	3077044	Present
176	ERR11865422	2592418	Present
177	ERR11865423	4304104	Present
178	ERR11865424	4125208	Present
179	ERR11865425	4222134	Present
180	ERR11865426	3814132	Present
181	ERR11865432	4410124	Present
182	ERR11865442	3195532	Present
183	ERR1653129	176413	Absent
184	ERR1653130	237089	Present
185	ERR1653131	76386	Present
186	ERR1653132	150192	Absent
187	ERR1653135	68264	Present
188	ERR1653136	136476	Present
189	ERR1653137	153137	Absent
190	ERR1653138	149058	Present
191	ERR1653139	200553	Present
192	ERR1653140	260048	Absent
193	ERR1653141	36190	Absent
194	ERR1653142	229957	Present
195	ERR1653143	97554	Absent
196	ERR1653145	98895	Present
197	ERR1653146	217308	Present
198	ERR2014805	729366	Present
199	ERR2014806	727064	Present
200	ERR2014807	702960	Present
201	ERR2014809	720832	Present
202	ERR2014811	707860	Absent
203	ERR2014814	846362	Present
204	ERR2021947	242349	Present
205	ERR2021948	189019	Present
206	ERR2021949	348282	Present
207	ERR2021950	133627	Present
208	ERR2102261	105665326	Present
209	ERR2126384	90734626	Present
210	ERR2133080	95028852	Present
211	ERR2135449	99920206	Present
212	ERR2135457	75965392	Present
213	ERR2135518	95574546	Present
214	ERR2135519	85488400	Present
215	ERR2212267	9997210	Present
216	ERR2212268	44197664	Present
217	ERR2212269	7514706	Present
218	ERR2212270	7878046	Present
219	ERR2212271	5408908	Present
220	ERR2212272	15026614	Present
221	ERR2212273	10002704	Present
222	ERR2212274	12547164	Present
223	ERR2212275	9262672	Present
224	ERR2212276	8241954	Present
225	ERR2212277	5653048	Present
226	ERR2212278	5448772	Present
227	ERR2212279	7484382	Present
228	ERR2212280	7959790	Present
229	ERR2212281	8420374	Present
230	ERR2212282	8494146	Present
231	ERR2212283	4380460	Present
232	ERR2212284	5558944	Present
233	ERR2212285	9261444	Present
234	ERR2212286	4085466	Present
235	ERR2212287	13672754	Present
236	ERR2212288	11650030	Present
237	ERR2212289	9973386	Present
238	ERR2212290	14468594	Present
239	ERR2212291	23506384	Present
240	ERR2212292	16622414	Present
241	ERR2212293	2605848	Present
242	ERR2212294	14937362	Present
243	ERR2212295	16693996	Present
244	ERR2212296	3790894	Present
245	ERR2212297	8976550	Present
