	Agaricomycotina	Non Yeast	None	Pezizomycotina	Pucciniomycotina	Saccharomycotina	Taphrinomycotina	Ustilaginomycotina	Wallemiomycotina	n_samples	label
Animal corpus	2.9850746268656714	91.04477611940298	25.37313432835821	4.477611940298507	0.0	34.32835820895522	0.0	10.44776119402985	7.462686567164178	67	Animal corpus (67)
Animal distal gut	33.51648351648351	98.35164835164835	41.208791208791204	26.373626373626376	3.296703296703297	48.9010989010989	3.8461538461538463	19.230769230769234	9.89010989010989	182	Animal distal gut (182)
Animal proximal gut	13.333333333333334	96.66666666666667	26.666666666666668	3.3333333333333335	0.0	50.0	0.0	16.666666666666664	16.666666666666664	30	Animal proximal gut (30)
Animal secretion	0.0	100.0	5.0	20.0	0.0	70.0	0.0	20.0	0.0	20	Animal secretion (20)
Fungus corpus	8.333333333333332	100.0	41.66666666666667	50.0	0.0	25.0	0.0	58.333333333333336	0.0	12	Fungus corpus (12)
Plant corpus	10.714285714285714	100.0	32.142857142857146	10.714285714285714	3.571428571428571	57.14285714285714	0.0	10.714285714285714	25.0	28	Plant corpus (28)
Plant surface	5.263157894736842	98.24561403508771	14.035087719298245	17.543859649122805	1.7543859649122806	26.31578947368421	0.0	19.298245614035086	3.508771929824561	57	Plant surface (57)
Sediment (non-saline)	23.404255319148938	82.97872340425532	38.297872340425535	19.148936170212767	0.0	36.17021276595745	2.127659574468085	19.148936170212767	23.404255319148938	47	Sediment (non-saline) (47)
Sediment (saline)	1.5151515151515151	93.93939393939394	19.696969696969695	19.696969696969695	0.0	45.45454545454545	1.5151515151515151	19.696969696969695	12.121212121212121	66	Sediment (saline) (66)
Soil (non-saline)	16.74418604651163	87.90697674418605	29.767441860465116	41.3953488372093	1.3953488372093024	14.418604651162791	0.0	5.116279069767442	7.906976744186046	215	Soil (non-saline) (215)
Sterile water blank	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16	Sterile water blank (16)
Subsurface (non-saline)	0.0	90.0	20.0	0.0	0.0	20.0	0.0	40.0	0.0	10	Subsurface (non-saline) (10)
Surface (saline)	0.0	100.0	25.0	50.0	0.0	50.0	0.0	0.0	25.0	4	Surface (saline) (4)
Water (non-saline)	16.666666666666664	100.0	29.166666666666668	8.333333333333332	0.0	25.0	0.0	29.166666666666668	4.166666666666666	24	Water (non-saline) (24)
Water (saline)	2.564102564102564	97.43589743589743	12.82051282051282	12.82051282051282	2.564102564102564	51.28205128205128	0.0	35.8974358974359	12.82051282051282	39	Water (saline) (39)
