	Agaricomycotina	Non Yeast	None	Pezizomycotina	Pucciniomycotina	Saccharomycotina	Taphrinomycotina	Ustilaginomycotina	Wallemiomycotina	n_samples	label
alcohol	38.095238095238095	92.85714285714286	54.761904761904766	69.04761904761905	26.190476190476193	100.0	19.047619047619047	2.380952380952381	2.380952380952381	42	alcohol (42)
dairy	6.42781875658588	90.83245521601685	83.45626975763962	10.642781875658589	0.8429926238145415	89.98946259220232	6.638566912539515	15.17386722866175	13.698630136986301	949	dairy (949)
fermented_beverages	2.941176470588235	96.81372549019608	50.245098039215684	38.72549019607843	1.2254901960784315	99.26470588235294	4.411764705882353	6.127450980392156	3.6764705882352944	408	fermented_beverages (408)
fermented_fish	20.0	100.0	80.0	0.0	60.0	80.0	0.0	0.0	80.0	5	fermented_fish (5)
fermented_fruits_and_vegetables	13.461538461538462	94.23076923076923	88.46153846153845	21.153846153846153	9.615384615384617	92.3076923076923	5.769230769230769	48.07692307692308	19.230769230769234	52	fermented_fruits_and_vegetables (52)
fermented_grains	9.63855421686747	97.59036144578313	71.08433734939759	4.819277108433735	9.63855421686747	92.7710843373494	4.819277108433735	3.614457831325301	3.614457831325301	83	fermented_grains (83)
fermented_legumes	21.052631578947366	100.0	78.94736842105263	10.526315789473683	0.0	73.68421052631578	42.10526315789473	21.052631578947366	15.789473684210526	19	fermented_legumes (19)
fermented_meat	42.592592592592595	98.14814814814815	62.96296296296296	3.7037037037037033	0.0	48.148148148148145	0.0	14.814814814814813	1.8518518518518516	54	fermented_meat (54)
fermented_seeds	50.877192982456144	98.24561403508771	54.385964912280706	29.82456140350877	19.298245614035086	94.73684210526315	57.89473684210527	50.877192982456144	1.7543859649122806	57	fermented_seeds (57)
fermented_tubers_and_roots	50.0	100.0	91.66666666666666	16.666666666666664	4.166666666666666	100.0	20.833333333333336	16.666666666666664	12.5	24	fermented_tubers_and_roots (24)
fish	5.376344086021505	97.84946236559139	72.04301075268818	5.376344086021505	1.0752688172043012	32.25806451612903	17.20430107526882	54.83870967741935	52.68817204301075	93	fish (93)
fruits_and_vegetables	24.489795918367346	100.0	89.79591836734694	24.489795918367346	16.3265306122449	95.91836734693877	20.408163265306122	24.489795918367346	24.489795918367346	49	fruits_and_vegetables (49)
meat	5.714285714285714	98.57142857142858	100.0	5.714285714285714	0.0	98.57142857142858	35.714285714285715	82.85714285714286	98.57142857142858	70	meat (70)
other	20.0	60.0	40.0	40.0	20.0	100.0	0.0	20.0	20.0	5	other (5)
probiotics	0.0	67.74193548387096	58.06451612903226	0.0	0.0	22.58064516129032	3.225806451612903	0.0	0.0	31	probiotics (31)
