sample_name	subphylum	relative_abundance	subphylum_label
13114.angenent.65.s009	Saccharomycotina	0.1640601400937709	Saccharomycotina
13114.bittleston.68.s010	Pucciniomycotina	0.0005165639680102266	Pucciniomycotina
13114.bittleston.68.s010	Saccharomycotina	0.0063020804097247635	Saccharomycotina
13114.bowen.74.s013	Wallemiomycotina	0.005188008340115154	Wallemiomycotina
13114.jensen.43.s003	Ustilaginomycotina	0.02910722128005358	Ustilaginomycotina
13114.jensen.43.s016	Saccharomycotina	0.04993211266354372	Saccharomycotina
13114.mayer.33.s007	Agaricomycotina	0.00011512832202773212	Agaricomycotina
13114.mayer.33.s007	Saccharomycotina	0.00780490624505246	Saccharomycotina
13114.mayer.33.s007	Wallemiomycotina	0.0004366936352776046	Wallemiomycotina
13114.myrold.5.s003	Agaricomycotina	0.001869801605722581	Agaricomycotina
13114.myrold.5.s003	Pezizomycotina	5.7119445445334643e-05	Pezizomycotina
13114.myrold.5.s004	Agaricomycotina	0.0034762874885522254	Agaricomycotina
13114.myrold.5.s004	Pezizomycotina	0.00045833405021479653	Pezizomycotina
13114.myrold.5.s008	Agaricomycotina	0.0005962695883876498	Agaricomycotina
13114.myrold.5.s008	Pezizomycotina	0.0008286393544504839	Pezizomycotina
13114.myrold.5.s008	Saccharomycotina	6.46689443288076e-05	Saccharomycotina
13114.myrold.5.s008	Wallemiomycotina	6.576502813099077e-05	Wallemiomycotina
13114.myrold.59.s006	Pezizomycotina	0.001155845708619634	Pezizomycotina
13114.myrold.59.s019	Agaricomycotina	0.004152516169259115	Agaricomycotina
13114.myrold.59.s019	Pezizomycotina	0.0018782150057879688	Pezizomycotina
13114.pinto.63.s003	Saccharomycotina	0.00032636128103780186	Saccharomycotina
13114.rohwer.86.s001	Saccharomycotina	0.014006086022919825	Saccharomycotina
13114.sandin.54.s009	Ustilaginomycotina	0.029782679958089416	Ustilaginomycotina
13114.sandin.54.s011	Saccharomycotina	0.0007872835813669364	Saccharomycotina
13114.song.51.s010	Agaricomycotina	0.00012975274576272947	Agaricomycotina
13114.song.51.s010	Saccharomycotina	0.01261845452542544	Saccharomycotina
13114.song.53.s013	Agaricomycotina	0.0021835427836094544	Agaricomycotina
13114.song.53.s013	Pezizomycotina	0.0005216241094178142	Pezizomycotina
13114.song.53.s013	Saccharomycotina	0.45201761779364164	Saccharomycotina
13114.song.53.s013	Ustilaginomycotina	0.00038818538375279195	Ustilaginomycotina
13114.song.53.s013	Wallemiomycotina	0.0002547466580877697	Wallemiomycotina
13114.stegen.36.s010	Pezizomycotina	0.002541656584880046	Pezizomycotina
13114.stegen.36.s010	Saccharomycotina	0.007559925969992305	Saccharomycotina
13114.stegen.36.s010	Ustilaginomycotina	0.0029467662436105796	Ustilaginomycotina
13114.stegen.37.s004	Wallemiomycotina	0.00043874717693613346	Wallemiomycotina
13114.thomas.18.s018	Saccharomycotina	1.936991975429644e-05	Saccharomycotina
13114.thomas.19.s025	Agaricomycotina	4.907621388788146e-05	Agaricomycotina
13114.thomas.19.s025	Pezizomycotina	4.907621388788146e-05	Pezizomycotina
13114.thomas.19.s025	Saccharomycotina	0.0002208429624954666	Saccharomycotina
13114.thomas.19.s025	Wallemiomycotina	2.453810694394073e-05	Wallemiomycotina
13114.tucker.58.s014	Ustilaginomycotina	0.03725609070873897	Ustilaginomycotina
13114.zaneveld.9.s006	Saccharomycotina	0.07391508998172899	Saccharomycotina
13114.angenent.65.s003	Saccharomycotina	0.12122971829622761	Saccharomycotina
13114.angenent.65.s004	Saccharomycotina	0.25629798405679155	Saccharomycotina
13114.angenent.65.s007	Saccharomycotina	0.11782201890838156	Saccharomycotina
13114.angenent.65.s007	Wallemiomycotina	9.111946089353202e-05	Wallemiomycotina
13114.angenent.65.s008	Saccharomycotina	0.19977269491652208	Saccharomycotina
13114.berry.2.s001	Saccharomycotina	0.005615016703506844	Saccharomycotina
13114.bittleston.68.s003	Agaricomycotina	0.3712812810215467	Agaricomycotina
13114.bittleston.68.s003	Pezizomycotina	0.024310185044075026	Pezizomycotina
13114.bittleston.68.s003	Ustilaginomycotina	0.0006118620332696581	Ustilaginomycotina
13114.bittleston.68.s006	Saccharomycotina	0.0006016685161519998	Saccharomycotina
13114.bittleston.68.s014	Ustilaginomycotina	0.0037880455628500225	Ustilaginomycotina
13114.bowen.74.s008	Agaricomycotina	1.8264353133231515e-05	Agaricomycotina
13114.bowen.74.s008	Saccharomycotina	0.0001095861187993891	Saccharomycotina
13114.bowen.74.s015	Saccharomycotina	0.0034321493464171448	Saccharomycotina
13114.king.27.s013	Agaricomycotina	7.944210037286944e-05	Agaricomycotina
13114.king.27.s013	Pezizomycotina	0.0007838287236789785	Pezizomycotina
13114.king.27.s013	Saccharomycotina	7.414596034801148e-05	Saccharomycotina
13114.king.27.s013	Wallemiomycotina	0.00027539928129261405	Wallemiomycotina
13114.macrae.crerar.3.s004	Pezizomycotina	0.00010886547284498837	Pezizomycotina
13114.macrae.crerar.3.s005	Pezizomycotina	0.00014350815288534995	Pezizomycotina
13114.macrae.crerar.3.s005	Saccharomycotina	0.0031384609087535234	Saccharomycotina
13114.macrae.crerar.3.s009	Pezizomycotina	0.00025393972858629206	Pezizomycotina
13114.macrae.crerar.3.s009	Saccharomycotina	0.0022969527713278598	Saccharomycotina
13114.macrae.crerar.3.s012	Pezizomycotina	0.00045157561892568844	Pezizomycotina
13114.makhalanyane.46.s010	Pezizomycotina	0.00031339629034654625	Pezizomycotina
13114.mayer.34.s002	Agaricomycotina	0.0022386062557459485	Agaricomycotina
13114.mayer.34.s002	Pezizomycotina	0.010717615929571324	Pezizomycotina
13114.mayer.34.s006	Wallemiomycotina	0.00024034283020961272	Wallemiomycotina
13114.mcmahon.21.s001	Agaricomycotina	5.892609548030955e-05	Agaricomycotina
13114.metcalf.40.s002	Pezizomycotina	0.0007826519538763209	Pezizomycotina
13114.metcalf.40.s002	Saccharomycotina	0.00834638324535259	Saccharomycotina
13114.metcalf.40.s006	Agaricomycotina	0.00020554736476033003	Agaricomycotina
13114.metcalf.40.s006	Pezizomycotina	0.00044170816682539	Pezizomycotina
13114.metcalf.40.s014	Pezizomycotina	0.002305992028192926	Pezizomycotina
13114.metcalf.40.s014	Saccharomycotina	0.01540520553019619	Saccharomycotina
13114.myrold.5.s007	Agaricomycotina	0.0013468995769464669	Agaricomycotina
13114.myrold.5.s007	Pezizomycotina	0.0016613879215636844	Pezizomycotina
13114.myrold.5.s007	Ustilaginomycotina	0.0005717969902131227	Ustilaginomycotina
13114.myrold.5.s009	Agaricomycotina	0.00015394426191423625	Agaricomycotina
