	Subphylum	Relative_Abundance	Sample	Total_Reads	Reads_Subphylum
0	Agaricomycotina	0.0	0		
1	Agaricomycotina	0.02372466400967211	1		
2	Agaricomycotina	0.012290384243850814	2		
3	Agaricomycotina	0.01970757631344739	3		
4	Agaricomycotina	0.050441967899777874	4		
5	Agaricomycotina	0.0	5		
6	Agaricomycotina	0.0	6		
7	Agaricomycotina	0.0	7		
8	Agaricomycotina	0.0	8		
9	Agaricomycotina	0.0	9		
10	Agaricomycotina	0.0	10		
11	Agaricomycotina	0.0	11		
12	Agaricomycotina	0.0	12		
13	Agaricomycotina	0.0	13		
14	Agaricomycotina	0.0	14		
15	Agaricomycotina	0.0	15		
16	Agaricomycotina	0.0	16		
17	Agaricomycotina	0.0	17		
18	Agaricomycotina	0.0	18		
19	Agaricomycotina	0.0	19		
20	Agaricomycotina	0.0	20		
21	Agaricomycotina	0.0	21		
22	Agaricomycotina	0.0	22		
23	Agaricomycotina	0.0	23		
24	Agaricomycotina	0.0	24		
25	Agaricomycotina	0.0	25		
26	Agaricomycotina	0.0	26		
27	Agaricomycotina	0.0	27		
28	Agaricomycotina	0.0	28		
29	Agaricomycotina	0.0	29		
30	Agaricomycotina	0.0	30		
31	Agaricomycotina	0.0	31		
32	Agaricomycotina	0.0	32		
33	Agaricomycotina	0.0	33		
34	Agaricomycotina	0.0	34		
35	Agaricomycotina	0.0	35		
36	Agaricomycotina	0.0	36		
37	Agaricomycotina	0.0	37		
38	Agaricomycotina	0.0	38		
39	Agaricomycotina	0.0	39		
40	Agaricomycotina	0.0	40		
41	Agaricomycotina	0.0	41		
42	Agaricomycotina	0.0	42		
43	Agaricomycotina	0.0	43		
44	Agaricomycotina	0.0	44		
45	Agaricomycotina	0.0	45		
46	Agaricomycotina	0.0	46		
47	Agaricomycotina	0.0	47		
48	Agaricomycotina	0.0	48		
49	Agaricomycotina	0.0	49		
50	Agaricomycotina	0.0	50		
51	Agaricomycotina	0.0	51		
52	Agaricomycotina	0.0	52		
53	Agaricomycotina	0.0	53		
54	Agaricomycotina	0.0	54		
55	Agaricomycotina	0.0	55		
56	Agaricomycotina	0.0	56		
57	Agaricomycotina	0.0	57		
58	Agaricomycotina	0.0	58		
59	Agaricomycotina	0.0	59		
60	Agaricomycotina	0.0	60		
61	Agaricomycotina	0.0	61		
62	Agaricomycotina	0.0	62		
63	Agaricomycotina	0.0	63		
64	Agaricomycotina	0.0	64		
65	Agaricomycotina	0.0	65		
66	Agaricomycotina	0.0	66		
67	Agaricomycotina	0.0	67		
68	Agaricomycotina	0.0	68		
69	Agaricomycotina	0.0	69		
70	Agaricomycotina	0.0	70		
71	Agaricomycotina	0.0	71		
72	Agaricomycotina	0.0	72		
73	Agaricomycotina	0.0	73		
74	Agaricomycotina	0.0	74		
75	Agaricomycotina	0.0	75		
76	Agaricomycotina	0.0	76		
77	Agaricomycotina	0.0	77		
78	Agaricomycotina	0.0	78		
79	Agaricomycotina	0.0	79		
80	Agaricomycotina	0.0	80		
81	Agaricomycotina	0.0	81		
82	Agaricomycotina	0.0	82		
83	Agaricomycotina	0.0	83		
84	Agaricomycotina	0.0	84		
85	Agaricomycotina	0.0	85		
86	Agaricomycotina	0.0	86		
87	Agaricomycotina	0.0	87		
88	Agaricomycotina	0.0	88		
89	Agaricomycotina	0.0	89		
90	Agaricomycotina	0.0	90		
91	Agaricomycotina	0.0	91		
92	Agaricomycotina	0.0	92		
93	Agaricomycotina	0.0	93		
94	Agaricomycotina	0.0	94		
95	Agaricomycotina	0.0	95		
96	Agaricomycotina	0.0	96		
97	Agaricomycotina	0.0	97		
98	Agaricomycotina	0.0	98		
99	Agaricomycotina	0.0	99		
100	Agaricomycotina	0.0	100		
101	Agaricomycotina	0.0	101		
102	Agaricomycotina	0.0	102		
103	Agaricomycotina	0.0	103		
104	Agaricomycotina	0.0	104		
105	Agaricomycotina	0.0	105		
106	Agaricomycotina	0.0	106		
107	Agaricomycotina	0.0	107		
108	Agaricomycotina	0.0	108		
109	Agaricomycotina	0.0	109		
110	Agaricomycotina	0.0	110		
111	Agaricomycotina	0.0	111		
